gene	cluster
ENSG00000000971	1
ENSG00000001084	4
ENSG00000001561	4
ENSG00000002549	1
ENSG00000002587	2
ENSG00000003400	5
ENSG00000003436	3
ENSG00000004700	1
ENSG00000005379	2
ENSG00000005486	5
ENSG00000005844	5
ENSG00000006451	3
ENSG00000006715	5
ENSG00000007174	1
ENSG00000007202	5
ENSG00000007264	2
ENSG00000008018	2
ENSG00000008056	3
ENSG00000008118	4
ENSG00000008988	4
ENSG00000010327	2
ENSG00000010539	1
ENSG00000010610	5
ENSG00000011478	5
ENSG00000011600	5
ENSG00000012779	5
ENSG00000012983	5
ENSG00000013288	5
ENSG00000013523	5
ENSG00000014914	4
ENSG00000015171	5
ENSG00000018510	4
ENSG00000019582	5
ENSG00000020577	1
ENSG00000023445	3
ENSG00000023892	1
ENSG00000023902	1
ENSG00000023909	3
ENSG00000025708	2
ENSG00000026025	4
ENSG00000026103	1
ENSG00000026950	1
ENSG00000027869	1
ENSG00000028137	3
ENSG00000028277	2
ENSG00000029153	2
ENSG00000029364	4
ENSG00000030582	5
ENSG00000033800	4
ENSG00000033867	2
ENSG00000034677	1
ENSG00000038427	2
ENSG00000040531	2
ENSG00000042980	3
ENSG00000044574	2
ENSG00000047621	2
ENSG00000048392	1
ENSG00000049239	5
ENSG00000051128	2
ENSG00000052795	3
ENSG00000054277	4
ENSG00000054523	2
ENSG00000055732	2
ENSG00000057657	3
ENSG00000059378	1
ENSG00000059758	4
ENSG00000059804	3
ENSG00000060138	3
ENSG00000060762	5
ENSG00000060982	3
ENSG00000061273	1
ENSG00000062650	5
ENSG00000063046	5
ENSG00000063177	4
ENSG00000064042	2
ENSG00000064393	5
ENSG00000064666	3
ENSG00000065135	2
ENSG00000065243	5
ENSG00000065911	3
ENSG00000065978	4
ENSG00000066336	5
ENSG00000067057	2
ENSG00000067082	3
ENSG00000067369	1
ENSG00000068079	1
ENSG00000068366	3
ENSG00000070214	2
ENSG00000070756	4
ENSG00000071051	3
ENSG00000071054	3
ENSG00000071243	4
ENSG00000071967	2
ENSG00000072694	2
ENSG00000072818	2
ENSG00000072840	2
ENSG00000073605	5
ENSG00000073737	1
ENSG00000073756	3
ENSG00000073792	2
ENSG00000073849	2
ENSG00000073921	3
ENSG00000074201	5
ENSG00000074410	3
ENSG00000074800	2
ENSG00000075275	2
ENSG00000075292	1
ENSG00000075391	5
ENSG00000075426	3
ENSG00000075618	3
ENSG00000075914	2
ENSG00000076067	5
ENSG00000076555	5
ENSG00000077984	3
ENSG00000079215	4
ENSG00000079308	2
ENSG00000079739	5
ENSG00000079785	1
ENSG00000080503	5
