gene	cluster
ENSG00000000938	3
ENSG00000000971	2
ENSG00000001084	4
ENSG00000001561	4
ENSG00000002549	2
ENSG00000002587	2
ENSG00000003056	2
ENSG00000003400	5
ENSG00000003436	3
ENSG00000004534	1
ENSG00000004700	1
ENSG00000004779	1
ENSG00000004866	5
ENSG00000005379	1
ENSG00000005381	2
ENSG00000005486	5
ENSG00000005810	1
ENSG00000005844	5
ENSG00000005884	5
ENSG00000006015	1
ENSG00000006451	3
ENSG00000006459	3
ENSG00000006625	1
ENSG00000006715	1
ENSG00000006747	1
ENSG00000006831	5
ENSG00000007038	5
ENSG00000007129	5
ENSG00000007202	1
ENSG00000007264	2
ENSG00000007545	1
ENSG00000008018	1
ENSG00000008056	3
ENSG00000008083	3
ENSG00000008226	1
ENSG00000008394	4
ENSG00000008441	1
ENSG00000008516	3
ENSG00000008988	4
ENSG00000010244	3
ENSG00000010327	2
ENSG00000010404	5
ENSG00000010539	1
ENSG00000010610	5
ENSG00000010810	3
ENSG00000010818	3
ENSG00000011028	2
ENSG00000011198	5
ENSG00000011260	1
ENSG00000011422	3
ENSG00000011478	5
ENSG00000011600	5
ENSG00000012232	1
ENSG00000012660	3
ENSG00000012779	5
ENSG00000012817	1
ENSG00000012983	4
ENSG00000013288	5
ENSG00000013364	1
ENSG00000013523	5
ENSG00000014257	2
ENSG00000014914	5
ENSG00000015171	5
ENSG00000016391	5
ENSG00000017427	5
ENSG00000018610	1
ENSG00000019169	5
ENSG00000019582	5
ENSG00000020577	1
ENSG00000020633	3
ENSG00000021355	3
ENSG00000021852	5
ENSG00000022267	5
ENSG00000023041	1
ENSG00000023445	3
ENSG00000023572	4
ENSG00000023892	1
ENSG00000023902	2
ENSG00000023909	2
ENSG00000025293	3
ENSG00000025708	2
ENSG00000025772	3
ENSG00000026025	3
ENSG00000026508	3
ENSG00000026950	1
ENSG00000027075	5
ENSG00000027697	4
ENSG00000028137	3
ENSG00000028277	2
ENSG00000029153	2
ENSG00000029725	1
ENSG00000030066	1
ENSG00000030582	5
ENSG00000032444	5
ENSG00000033327	3
ENSG00000033800	4
ENSG00000033867	2
ENSG00000034152	3
ENSG00000034510	1
ENSG00000035403	2
ENSG00000038219	1
ENSG00000038427	2
ENSG00000038945	5
ENSG00000039650	1
ENSG00000040531	2
ENSG00000042493	1
ENSG00000042753	2
ENSG00000042980	3
ENSG00000043093	4
ENSG00000043462	3
ENSG00000044574	2
ENSG00000047410	1
ENSG00000047621	2
ENSG00000048392	4
ENSG00000049239	5
ENSG00000049449	1
ENSG00000050405	5
ENSG00000050426	4
ENSG00000050820	5
ENSG00000051108	3
ENSG00000051128	2
ENSG00000051523	1
ENSG00000052795	3
ENSG00000053371	1
ENSG00000053501	4
ENSG00000054277	4
ENSG00000054523	2
ENSG00000055163	5
ENSG00000055332	1
ENSG00000056558	3
ENSG00000057657	3
ENSG00000057704	3
ENSG00000058453	1
ENSG00000059377	4
ENSG00000059378	1
ENSG00000059728	3
ENSG00000059804	3
ENSG00000060138	3
ENSG00000060762	5
ENSG00000060982	3
ENSG00000061938	1
ENSG00000062282	4
ENSG00000062822	1
ENSG00000063046	5
ENSG00000063177	4
ENSG00000064393	5
ENSG00000064607	1
ENSG00000064666	3
ENSG00000065135	2
ENSG00000065243	5
ENSG00000065548	4
ENSG00000065615	2
ENSG00000065809	3
ENSG00000065833	1
ENSG00000065882	2
ENSG00000065911	3
ENSG00000066294	2
ENSG00000066336	5
ENSG00000066697	3
ENSG00000067057	2
ENSG00000067082	3
ENSG00000067167	4
ENSG00000067182	2
ENSG00000067369	1
ENSG00000067560	4
ENSG00000067992	4
ENSG00000068079	1
ENSG00000068366	3
ENSG00000069275	4
ENSG00000069329	4
ENSG00000069667	5
ENSG00000070159	5
ENSG00000070214	2
ENSG00000070367	4
ENSG00000070731	5
ENSG00000070756	5
ENSG00000070770	4
ENSG00000070882	1
ENSG00000071051	3
ENSG00000071054	3
ENSG00000071082	4
ENSG00000071243	4
ENSG00000071626	2
ENSG00000071967	2
ENSG00000072210	5
ENSG00000072401	4
ENSG00000072518	5
ENSG00000072694	2
ENSG00000072818	2
ENSG00000072840	1
ENSG00000073008	3
ENSG00000073464	5
ENSG00000073605	1
ENSG00000073737	1
ENSG00000073756	3
ENSG00000073792	2
ENSG00000073849	2
ENSG00000073921	3
ENSG00000074181	2
ENSG00000074201	4
ENSG00000074410	3
ENSG00000074800	2
ENSG00000074855	1
ENSG00000075151	2
ENSG00000075240	2
ENSG00000075275	2
ENSG00000075292	1
ENSG00000075391	5
ENSG00000075426	3
ENSG00000075539	1
ENSG00000075618	3
ENSG00000075914	1
ENSG00000076053	4
ENSG00000076067	5
ENSG00000076555	5
ENSG00000076641	4
ENSG00000077097	1
ENSG00000077150	3
ENSG00000077380	1
ENSG00000077458	4
ENSG00000077585	3
ENSG00000077984	3
ENSG00000078043	4
ENSG00000078053	2
ENSG00000078061	5
ENSG00000078081	3
ENSG00000078124	5
ENSG00000078140	4
ENSG00000078237	4
ENSG00000078369	3
ENSG00000078674	1
ENSG00000079215	4
ENSG00000079246	4
ENSG00000079308	2
ENSG00000079337	5
ENSG00000079459	5
ENSG00000079739	5
ENSG00000079819	3
ENSG00000079950	4
ENSG00000080371	3
ENSG00000080503	5
ENSG00000080815	4
ENSG00000080819	1
ENSG00000081041	3
ENSG00000081087	4
ENSG00000081177	5
ENSG00000081189	2
ENSG00000081320	4
ENSG00000081923	1
ENSG00000082512	2
ENSG00000082641	1
ENSG00000082781	5
ENSG00000082898	4
ENSG00000082996	4
ENSG00000083312	4
ENSG00000083457	5
ENSG00000083544	4
ENSG00000083845	4
ENSG00000084070	3
ENSG00000084207	5
ENSG00000084674	5
ENSG00000084676	5
ENSG00000084733	4
ENSG00000085231	4
ENSG00000085265	2
ENSG00000085514	5
ENSG00000085662	5
ENSG00000085719	4
ENSG00000086062	3
ENSG00000086289	4
ENSG00000086300	4
ENSG00000086598	4
ENSG00000087086	4
ENSG00000087116	2
ENSG00000087245	2
ENSG00000088367	5
ENSG00000088827	1
ENSG00000089127	1
ENSG00000089157	4
ENSG00000089159	2
ENSG00000089220	5
ENSG00000089248	1
ENSG00000089280	2
ENSG00000089737	5
ENSG00000089820	2
ENSG00000090020	5
ENSG00000090060	4
ENSG00000090104	3
ENSG00000090339	3
ENSG00000090376	4
ENSG00000090382	5
ENSG00000090520	2
ENSG00000090615	1
ENSG00000090659	2
ENSG00000090924	3
ENSG00000091039	3
ENSG00000091106	5
ENSG00000091409	1
ENSG00000091527	2
ENSG00000091640	1
ENSG00000091732	1
ENSG00000092010	1
ENSG00000092820	3
ENSG00000092841	4
ENSG00000092853	1
ENSG00000092871	3
ENSG00000093010	5
ENSG00000094841	4
ENSG00000095066	1
ENSG00000095370	5
ENSG00000095585	1
ENSG00000095970	1
ENSG00000096060	4
ENSG00000096717	2
ENSG00000096746	1
ENSG00000097033	4
ENSG00000099194	5
ENSG00000099282	5
ENSG00000099377	1
ENSG00000099385	1
ENSG00000099625	3
ENSG00000099725	1
ENSG00000099783	2
ENSG00000099817	5
ENSG00000099860	3
ENSG00000099904	5
ENSG00000099968	5
ENSG00000099985	3
ENSG00000099991	1
ENSG00000099995	5
ENSG00000100077	5
ENSG00000100092	5
ENSG00000100099	1
ENSG00000100129	4
ENSG00000100162	5
ENSG00000100181	5
ENSG00000100220	1
ENSG00000100221	3
ENSG00000100234	1
ENSG00000100242	5
ENSG00000100243	5
ENSG00000100292	2
ENSG00000100307	5
ENSG00000100311	3
ENSG00000100316	4
ENSG00000100330	5
ENSG00000100342	5
ENSG00000100345	5
ENSG00000100364	2
ENSG00000100385	1
ENSG00000100439	4
