ensembl_gene_id	gene_name	AT01_AMY_F0_D0_R1	AT02_AMY_F0_D0_R2	AT03_AMY_F0_D0_R3	AT04_AMY_F0_D0_R4	AT05_AMRY_F0_D0_R1	AT07_AMRY_F0_D0_R3	AT08_AMRY_F0_D0_R4	AT05_AMDO_F0_D0_R1	AT06_AMDO_F0_D0_R2	AT07_AMDO_F0_D0_R3	AT08_AMDO_F0_D0_R4	AT14_AMDY_F0_D0_R2	AT15_AMDY_F0_D0_R3	AT16_AMDY_F0_D0_R4	AT13_AMRO_F0_D0_R1	AT14_AMRO_F0_D0_R2	AT16_AMRO_F0_D0_R4	AT10_AMO_F0_D0_R2	AT11_AMO_F0_D0_R3	AT12_AMO_F0_D0_R4
ENSMUSG00000000204	Slfn4	-0.326485744	-1.276385344	-1.155471779	0.123906063	-0.512976599	-1.842693895	-0.953982254	0.835035744	-0.533848149	-0.158281751	-0.522754773	-0.591591927	-0.20409092	0.645464898	0.976038083	1.714000628	2.067907022	0.548859198	0.35250539	0.814846109
ENSMUSG00000000386	Mx1	-1.263278187	-0.371479265	-0.604012895	-0.599306146	0.551081116	0.216482903	0.633997598	-0.835509475	-0.37189549	-0.970945079	-1.263278187	0.145002994	-0.070230771	1.155285979	2.108930316	2.321219657	-0.396176318	-0.930961249	0.120636528	0.424435971
ENSMUSG00000001281	Itgb7	-0.27167005	0.226547875	-0.590813084	-0.161157607	0.050868654	0.626996104	0.241651202	-1.206782875	-0.805808111	-0.111805731	-1.947380135	-1.164406292	0.435943277	0.548850162	2.812002091	0.584797762	0.891131662	-0.707174701	-0.271029523	0.81923932
ENSMUSG00000001750	Tcirg1	-1.120131755	-0.425833875	-0.298012357	-0.510356468	-1.933212312	-0.145843252	-0.937037935	-0.077942847	-0.056302124	-0.207149073	-1.016987024	-0.215355263	-0.174068877	1.007040334	1.992942147	0.474249356	2.277889054	0.154162429	0.247393016	0.964556826
ENSMUSG00000001774	Chordc1	-1.002819714	-0.700067763	-1.807827386	-0.771009115	-0.482574328	-0.19709619	1.584850497	-0.993002882	-0.873594115	-1.406592327	0.507903022	1.445480129	1.244922109	0.989301481	-0.036661047	0.781685245	1.137723575	0.036639143	-0.044082482	0.586822149
ENSMUSG00000002504	Slc9a3r2	-0.744165943	-1.167743811	-0.400848617	0.199369538	-0.940682085	-1.932767735	-0.688871095	-0.671908324	-0.34898078	-0.081413121	-0.593047602	-0.327316214	1.4004957	1.674411671	1.017419302	0.162663821	1.639198661	0.769847256	-0.226879457	1.261218834
ENSMUSG00000004207	Psap	-0.848388382	-0.791568819	-0.480175709	-0.667030472	-0.887193473	-0.62087318	-0.483947533	-0.144588313	-0.195639502	-0.267195227	0.140982049	-0.338518561	-1.102246588	0.991691206	2.315629363	-0.099952135	2.568465321	-0.067057517	-0.08408989	1.061697363
ENSMUSG00000004446	Bid	-0.652394235	-2.366848886	-1.582584549	-0.684891162	-0.193567487	-0.097313908	-0.485954758	-0.318673808	0.308890559	0.024169811	0.237953866	0.79931665	-1.013796001	0.314963537	1.740059718	1.788438944	0.967421754	0.242944537	0.453574359	0.518291059
ENSMUSG00000006362	Cbfa2t3	-0.403979653	-0.076379178	-0.342014	-0.576685085	-0.191062826	1.073594364	0.178223807	-1.781817502	-1.256212945	-0.875836726	-1.056473247	0.11390293	0.726079625	1.101021242	2.075642241	0.967701687	1.196708132	-0.92829024	-0.75686662	0.812743995
ENSMUSG00000006476	Nsmf	-2.145389834	-1.533530242	-0.33740259	-0.626697237	-1.036720714	-0.737663285	-0.067252326	0.416470772	-0.511927642	-0.152617321	-0.370029685	1.300482767	1.090781615	-0.291522719	0.675110566	0.517744206	2.133958751	0.553812099	0.297040728	0.825352092
ENSMUSG00000010358	Ifi35	-0.023303375	-0.589848341	-0.769570993	-0.255476884	-1.152050702	-0.457832233	-0.259096384	-0.425617365	-0.341169752	-0.40691456	-1.607905831	0.47388221	-0.940153797	0.404258453	2.593124792	0.770270884	1.920647669	-0.319287481	0.674368194	0.711675496
ENSMUSG00000010608	Rbm25	-1.061193317	-0.458721967	-1.592169718	-0.94438908	0.60659348	-0.065313193	-0.232591905	-1.086257802	-1.030305494	-1.693584975	0.195404324	1.173541557	1.031175808	-0.019637231	0.367191793	0.58697806	1.792157317	1.020106211	1.202569005	0.208447126
ENSMUSG00000011382	Dhdh	-0.092985122	-0.279560999	-0.21024633	-1.29371446	-0.979185432	-0.986956377	-0.074156566	-1.239121216	-0.440133121	-1.119549092	-0.98722433	1.177163295	0.055228981	1.134352602	1.78965083	-0.662309495	1.407003764	0.67209476	0.68820988	1.441438431
ENSMUSG00000016206	H2-M3	-1.026092644	-1.27145338	-0.744263369	-1.293548883	-0.364177039	-0.33050021	-0.158056643	0.498309689	-0.687220594	-1.336778193	-0.156410115	0.89467073	-0.471929953	1.002149141	2.502413732	0.268010215	1.319488511	-0.147857621	0.910264535	0.592982092
ENSMUSG00000018167	Stard3	-0.777948399	-1.157536819	-0.159253736	0.180605262	-1.812816617	-1.369034694	-0.150564854	-0.276564891	-0.175264799	0.363108197	-0.687426424	-0.474671867	-0.535392122	0.872757403	1.614958541	0.999270163	2.355419903	0.40683629	0.074489504	0.709029958
ENSMUSG00000018334	Ksr1	-1.008122201	-0.80393819	-0.939008339	-0.365261999	-1.402617406	0.346004325	-0.697356531	-0.488171588	-0.957092146	-1.084516286	-0.170949722	1.697301877	1.574576299	0.640327431	0.224370651	0.767616664	1.892782484	-0.247879319	-0.126668434	1.14860243
ENSMUSG00000018899	Irf1	-0.192355741	-0.764831304	-0.336697892	-0.489325701	-0.902168004	-1.315986922	-0.414014595	-0.388022344	-0.50194338	-0.615396197	-0.560084584	0.817529281	-0.25266908	0.560171162	3.44315615	0.92016561	0.38186186	-0.137066102	0.27126801	0.476409775
ENSMUSG00000018920	Cxcl16	-1.342501146	-1.582297359	-0.81634562	-0.756428105	-0.184364035	-0.447283011	-0.533726706	0.223829742	-0.53623376	-0.775721243	-0.093075548	-0.322630062	0.627694584	1.458807538	2.600853288	0.435800864	0.782290777	-0.173065469	0.110070347	1.324324924
ENSMUSG00000019254	Ppp1r12c	-1.461182139	-1.289149256	-0.347844954	-0.933587411	0.247532272	-0.72117876	0.266782887	-0.601487926	-0.165591381	-0.466644127	0.006593512	-0.914759586	0.15016677	0.735550412	1.249236294	0.825399366	3.017552452	-0.091004526	0.055851575	0.437764526
