id	Group
AT01_AMY_F0_D0_R1	Young_naive
AT02_AMY_F0_D0_R2	Young_naive
AT03_AMY_F0_D0_R3	Young_naive
AT04_AMY_F0_D0_R4	Young_naive
AT05_AMRY_F0_D0_R1	Young_AM_young_mouse
AT07_AMRY_F0_D0_R3	Young_AM_young_mouse
AT08_AMRY_F0_D0_R4	Young_AM_young_mouse
AT05_AMDO_F0_D0_R1	Old_AM_young_mouse
AT06_AMDO_F0_D0_R2	Old_AM_young_mouse
AT07_AMDO_F0_D0_R3	Old_AM_young_mouse
AT08_AMDO_F0_D0_R4	Old_AM_young_mouse
AT14_AMDY_F0_D0_R2	Young_AM_old_mouse
AT15_AMDY_F0_D0_R3	Young_AM_old_mouse
AT16_AMDY_F0_D0_R4	Young_AM_old_mouse
AT13_AMRO_F0_D0_R1	Old_AM_old_mouse
AT14_AMRO_F0_D0_R2	Old_AM_old_mouse
AT16_AMRO_F0_D0_R4	Old_AM_old_mouse
AT10_AMO_F0_D0_R2	Old_naive
AT11_AMO_F0_D0_R3	Old_naive
AT12_AMO_F0_D0_R4	Old_naive
