ensembl_gene_id	gene_name	AT01_AT2Y_F0_D0_R1	AT02_AT2Y_F0_D0_R2	AT03_AT2Y_F0_D0_R3	AT04_AT2Y_F0_D0_R4	AT05_AT2RY_F0_D0_R1	AT06_AT2RY_F0_D0_R2	AT07_AT2RY_F0_D0_R3	AT08_AT2RY_F0_D0_R4	AT13_AT2RO_F0_D0_R1	AT14_AT2RO_F0_D0_R2	AT15_AT2RO_F0_D0_R3	AT16_AT2RO_F0_D0_R4	AT09_AT2O_F0_D0_R1	AT10_AT2O_F0_D0_R2	AT11_AT2O_F0_D0_R3	AT12_AT2O_F0_D0_R4
ENSMUSG00000000308	Ckmt1	-0.53983721	-0.661385917	-0.798165684	-0.317199078	-1.855583076	-1.101908796	-1.203874355	-0.471472956	1.094470276	0.890718587	0.383643808	0.246507836	1.33521402	1.298590511	1.063052055	0.637229979
ENSMUSG00000000326	Comt	-0.258508899	-0.872515696	0.273367971	-0.827628016	-0.831621159	-2.031147614	-0.422066314	-1.131292739	1.615705358	1.012371394	-0.143731725	0.798833517	0.223406154	0.49435718	0.636355722	1.464114865
ENSMUSG00000000440	Pparg	-0.278681054	-0.189774237	-0.923087124	-0.907570522	-1.134182082	-1.163821528	-0.147435572	-0.369554596	-1.130520216	0.477499164	0.45035407	0.663313659	2.032048486	0.662723721	1.921642469	0.037045361
ENSMUSG00000001289	Pfdn5	0.685691695	0.284427467	0.864031908	1.133883157	-0.695979532	-1.348416725	-2.207420245	-0.871210508	0.252717705	0.379560613	-0.351978939	-0.645923781	1.244270847	0.998485608	0.897063849	-0.619203119
ENSMUSG00000001435	Col18a1	-0.989341919	-0.873425304	-0.941749614	-0.890152731	-0.915434916	-0.366615976	-0.378428136	-0.067560808	2.58563277	0.415905437	-0.036475599	1.647881336	0.171564511	-0.340116754	0.128685666	0.849632037
ENSMUSG00000001665	Gstt3	1.116927074	-0.028854677	-0.01509494	0.960107669	0.143991855	-0.853356462	-1.025150244	-1.18880454	-0.567305284	0.269098882	-1.399701439	-1.298736008	1.286813554	1.796917576	0.831115861	-0.027968876
ENSMUSG00000001739	Cldn15	0.498032432	-0.238729466	1.01754226	-0.220810213	-1.950679427	-1.360236316	-0.267228415	-1.364529325	-0.314542049	0.049417086	0.37247331	0.549650325	0.369343824	2.224994892	0.626702894	0.008598187
ENSMUSG00000002395	Use1	-0.337863567	0.3844252	-0.317067716	0.839900069	-0.636295759	-1.275925021	-1.694795555	-0.979780471	0.775309393	0.156490465	0.167119509	-0.02803331	1.267513501	1.51120149	1.40833187	-1.240530099
ENSMUSG00000002769	Gnmt	-0.520805328	-0.375870123	-0.778515511	-0.237103193	-0.583467153	0.238638415	-0.475240038	-1.25406573	-1.589902321	0.122890717	0.084862863	0.31146257	1.96550234	2.075827277	0.951735309	0.064049905
ENSMUSG00000002985	Apoe	-0.526162315	-1.349690133	-0.693615247	-0.773251847	-1.429562997	-0.477806368	-0.794635709	-1.016239696	1.189924224	0.718673911	0.204634369	1.21805291	1.464402028	1.331109252	0.272492914	0.661674705
