ensembl_gene_id	gene_name	AM_1_1	AM_1_2	AM_1_7	AM_1_8	AM_2_10	AM_2_3	AM_2_4	AM_2_9	AM_3_5	AM_3_6	AM_1_5	AM_2_7	AM_3_3	AM_3_9	AM_1_6	AM_2_8	AM_3_10	AM_3_4	AM_1_3	AM_1_4	AM_2_5	AM_2_6	AM_3_1	AM_3_2	AM_3_7	AM_3_8
ENSMUSG00000000149	Gna12	-0.412721348	-1.381251949	-0.349926717	0.110828573	-0.422050387	-0.157798518	-1.182142367	0.275530594	-0.873222768	-0.385534036	-0.917979379	-1.462001204	-1.040315753	-0.847865483	0.231485521	-1.073762605	1.099146029	0.402263163	0.549130684	1.021024661	1.231572303	1.938996603	0.99437716	1.496901979	1.655703422	-0.500388179
ENSMUSG00000000359	Rem1	-0.892320022	-0.157214994	-0.550438373	-0.281861404	-1.678410916	-1.171141719	-0.299381982	-1.319173544	0.159959489	-0.97462686	-0.65624511	-0.146998257	-0.732758148	-0.633144871	0.622487899	1.745349785	0.902889883	2.033358646	1.336465419	-0.067138044	1.236688521	0.267122768	0.007029569	-1.020200945	1.237436481	1.032266729
ENSMUSG00000001750	Tcirg1	-1.505871181	-1.27154146	-1.2014523	-0.233354517	-0.469581011	-1.092946927	-0.703085807	0.213200393	-0.66889226	-1.956552612	0.298685965	-0.944908305	-0.519912621	-0.305359514	-0.22684504	1.593440035	0.743978347	0.76787105	0.793279075	1.263547517	0.265311979	0.430274345	1.29036322	1.043325513	0.882132812	1.514893305
ENSMUSG00000002059	Rab34	-1.157183155	-0.395915239	-0.796770405	-0.743110808	-0.339153655	1.341940519	-1.216253821	-1.068149625	-1.065047442	-1.129908156	-1.483825194	0.070659885	-0.866429894	-1.036665326	1.179576813	1.22577172	1.053968638	0.795008163	0.03802258	-0.00598973	1.193684667	0.790323927	1.810467025	0.685108084	0.931384843	0.188485588
ENSMUSG00000003134	Tbc1d8	-1.23080786	-2.183699119	-1.021989742	-0.063152883	0.141586103	-0.333734362	-0.403177091	-1.26887268	-0.40702346	0.004984235	-0.745255219	-0.482904706	-0.617991446	-0.169437432	-0.359000868	1.841672261	-0.100124141	0.85596112	0.366091333	1.450344005	0.682463459	1.201085129	0.834914674	-0.947634756	1.593578981	1.362124465
ENSMUSG00000003665	Has1	0.009252775	0.306366655	-0.527286888	-0.879677848	-1.313999195	-0.792050365	-0.077753418	-0.635213298	-0.297108716	-1.691341641	-0.957286872	-0.282903196	-1.358704795	-1.069957519	-0.573196491	1.33731681	1.695866399	0.986926255	0.579536952	1.841750984	0.535039322	1.400711624	0.648537166	0.285587466	1.240955065	-0.411367233
ENSMUSG00000006411	Nectin4	-0.939555603	-0.099049258	-1.533823023	0.487331305	0.272614341	-0.460868978	-1.32162892	0.311547815	-0.357384686	-1.26006349	-1.088435304	-1.761971552	-0.493674972	-1.108246904	1.072497019	-0.370014692	0.343888367	0.213180079	1.526092986	1.629999701	1.483452643	-0.028473584	0.977673178	1.210151756	0.729562154	0.565199622
ENSMUSG00000015709	Arnt2	0.016133446	-1.085246707	-0.316513692	-0.511544648	-0.577066131	-1.085246707	-1.085246707	-0.61488463	-1.085246707	-0.559350832	-1.085246707	-1.085246707	-0.258538516	0.002583299	1.275966967	0.275808652	-0.138232869	-0.58925887	0.573233203	1.283163277	1.36828715	0.087655453	2.337588632	1.228438558	1.876178363	-0.24816657
ENSMUSG00000015950	Ncf1	-1.555034874	-1.365022415	-1.652695338	0.065767236	-0.351475917	-0.617934735	-0.885657771	-0.760424444	0.141468383	-0.90945429	0.063563398	-0.104273259	0.154561292	-1.245001769	0.387499696	0.535072459	0.27672905	1.719409589	1.823215251	-0.111477374	1.711261616	-0.132036509	0.96054918	-0.331637757	0.58572686	1.597302439
ENSMUSG00000016087	Fli1	-0.430629638	-0.774508825	0.121003647	-1.028271117	0.167262729	-1.078887367	-1.051728008	-1.289831288	-0.812005081	-1.255528621	-0.202972144	-0.553555863	-1.546353274	-0.049079948	1.157696423	-0.180405269	0.834812591	0.710439718	2.174252568	1.537294715	-0.039335797	1.083770449	-0.502848082	1.141569385	1.110484819	0.75735328
ENSMUSG00000016496	Cd274	-1.085970296	-0.990065468	0.029360916	-0.47868343	-0.297096984	-0.498769294	-1.643261807	-0.302774316	-1.194728984	-1.235202946	-1.366612672	0.786923309	-0.631882216	-0.804297456	-0.035968826	1.820539617	0.904879948	1.040762183	0.362704751	-0.122971185	1.030141463	1.502371445	0.965451257	1.812258569	0.180717227	0.252175193
ENSMUSG00000018008	Cyth4	-0.939604909	-1.39794911	-0.712846603	-0.666059835	0.209390522	-1.10024414	-1.216851137	-0.900568231	-0.07690066	-2.259265243	0.932358816	-0.400660614	0.699689407	-0.906050691	0.462514163	0.605350337	0.193088718	1.004093586	2.131665776	0.891648043	1.02738383	0.619295109	0.324467068	0.193400592	-0.008763072	1.291418277
ENSMUSG00000019122	Ccl9	-0.938738135	-1.044346969	-1.656715527	-0.517519376	-1.059858657	-0.294060146	-1.136153128	-1.032504286	-0.672181897	-0.327104509	-0.569574083	0.88715998	-1.209140035	0.14027362	-0.696963313	2.09083708	0.218731355	0.192251585	0.625448293	0.798811019	1.544969384	0.784983984	1.314811988	0.360640412	1.25992634	0.93601502
ENSMUSG00000019558	Slc6a8	-1.172185772	-1.116365405	-1.244018908	0.714785497	-1.181024604	-0.548138763	-1.36872291	-0.711437858	-0.948546084	-0.91149602	-0.312355283	-0.996256283	-0.521711345	-0.541152163	0.369375467	0.518280784	0.875365854	0.176113811	0.968256563	0.533064304	1.762035063	0.385894476	1.519439635	1.455332754	0.901024851	1.394442338
ENSMUSG00000019590	Cyb561	-1.257121593	0.109474027	-0.855519037	0.251850876	-1.223899298	-1.311682068	-1.667253683	-0.63616578	-0.470074564	-1.400238033	-0.248450328	-0.826172791	0.73039553	0.147811923	0.910778304	-1.486175758	1.05218006	0.908002837	0.836951268	0.982596312	1.478480669	0.907243244	0.068113695	1.231952991	0.889270497	0.877650701
ENSMUSG00000019790	Stxbp5	-1.361189489	-2.054862719	0.118261796	-0.600434863	0.026160408	0.254919891	-0.705039351	-0.124018966	-0.321862042	-0.269990133	-1.352817395	-0.351923199	-0.5667213	-1.536923899	0.837233583	-0.212425537	1.552799415	0.936092478	0.184218522	1.272329756	1.427978011	1.240875375	0.144746614	1.91533463	-0.001466362	-0.451275226
ENSMUSG00000019806	Aig1	-0.366902884	-0.221626651	-1.538321511	-0.567619768	-1.863338767	0.261145416	-0.899674183	-0.726955336	-0.600287595	-1.481779088	0.375429747	0.364435753	-1.081826601	0.057739129	1.248175989	1.228759267	-0.309325469	0.36523844	1.385918056	-1.033439372	0.274707564	-0.033379482	1.286473865	1.58199033	0.930589631	1.363873519
ENSMUSG00000020021	Fgd6	-0.002477791	-0.818699927	-0.580898362	-0.095853321	-1.435483306	-0.042122165	-0.94290813	-0.161100899	-1.330241813	-0.436731006	-1.846987451	-0.73901358	-1.276123797	-0.211839824	0.639112635	0.860868327	1.397045887	-0.195916141	1.291903311	-0.241800463	1.437604067	0.656292327	0.782910338	0.988089153	0.202025818	2.102346112
ENSMUSG00000020053	Igf1	0.061201099	-0.341149481	-0.912174596	-0.097641223	-1.154804467	0.59369484	-1.512701294	-0.764579619	-1.033270036	-2.089847354	-0.733155741	-0.33434551	-0.512115528	-1.138256902	0.93547013	0.982392197	0.257697884	1.29146296	0.069735566	0.114171944	0.273258915	1.935388975	1.251622753	1.193657339	0.987048019	0.67723913
