gene	cluster
ENSMUSG00000000149	1
ENSMUSG00000000359	1
ENSMUSG00000001750	1
ENSMUSG00000002059	1
ENSMUSG00000003134	1
ENSMUSG00000003665	1
ENSMUSG00000006411	1
ENSMUSG00000015709	1
ENSMUSG00000015950	1
ENSMUSG00000016087	1
ENSMUSG00000016496	1
ENSMUSG00000018008	1
ENSMUSG00000019122	1
ENSMUSG00000019558	1
ENSMUSG00000019590	1
ENSMUSG00000019790	1
ENSMUSG00000019806	1
ENSMUSG00000020021	1
ENSMUSG00000020053	1
ENSMUSG00000020085	1
ENSMUSG00000020121	1
ENSMUSG00000020340	1
ENSMUSG00000020589	1
ENSMUSG00000020604	1
ENSMUSG00000020681	1
ENSMUSG00000020806	1
ENSMUSG00000021190	1
ENSMUSG00000021275	1
ENSMUSG00000021458	1
ENSMUSG00000021552	1
ENSMUSG00000021687	1
ENSMUSG00000021779	1
ENSMUSG00000021948	1
ENSMUSG00000022220	1
ENSMUSG00000022235	1
ENSMUSG00000022265	1
ENSMUSG00000022656	1
ENSMUSG00000023830	1
ENSMUSG00000023960	1
ENSMUSG00000023961	1
ENSMUSG00000023992	1
ENSMUSG00000024381	1
ENSMUSG00000025006	1
ENSMUSG00000025044	1
ENSMUSG00000025151	1
ENSMUSG00000025171	1
ENSMUSG00000025351	1
ENSMUSG00000025372	1
ENSMUSG00000025511	1
ENSMUSG00000025586	1
ENSMUSG00000025743	1
ENSMUSG00000025854	1
ENSMUSG00000026246	1
ENSMUSG00000026278	1
ENSMUSG00000026303	1
ENSMUSG00000026307	1
ENSMUSG00000026723	1
ENSMUSG00000026927	1
ENSMUSG00000026986	1
ENSMUSG00000027175	1
ENSMUSG00000027555	1
ENSMUSG00000027646	1
ENSMUSG00000028108	1
ENSMUSG00000028245	1
ENSMUSG00000028327	1
ENSMUSG00000028337	1
ENSMUSG00000028413	1
ENSMUSG00000028517	1
ENSMUSG00000028970	1
ENSMUSG00000029207	1
ENSMUSG00000029304	1
ENSMUSG00000029470	1
ENSMUSG00000029762	1
ENSMUSG00000029802	1
ENSMUSG00000030088	1
ENSMUSG00000030259	1
ENSMUSG00000030433	1
ENSMUSG00000030545	1
ENSMUSG00000030546	1
ENSMUSG00000030557	1
ENSMUSG00000030605	1
ENSMUSG00000030760	1
ENSMUSG00000030786	1
ENSMUSG00000030793	1
ENSMUSG00000030798	1
ENSMUSG00000031266	1
ENSMUSG00000031349	1
ENSMUSG00000031365	1
ENSMUSG00000031392	1
ENSMUSG00000031438	1
ENSMUSG00000031453	1
ENSMUSG00000031502	1
ENSMUSG00000031503	1
