gene	cluster
ENSMUSG00000000290	1
ENSMUSG00000003153	1
ENSMUSG00000005540	1
ENSMUSG00000011034	1
ENSMUSG00000020651	1
ENSMUSG00000020810	1
ENSMUSG00000021922	1
ENSMUSG00000022912	1
ENSMUSG00000024065	1
ENSMUSG00000024087	1
ENSMUSG00000024238	1
ENSMUSG00000024892	1
ENSMUSG00000025348	1
ENSMUSG00000025586	1
ENSMUSG00000026417	1
ENSMUSG00000026822	1
ENSMUSG00000028001	1
ENSMUSG00000028278	1
ENSMUSG00000030789	1
ENSMUSG00000031803	1
ENSMUSG00000033467	1
ENSMUSG00000033860	1
ENSMUSG00000034723	1
ENSMUSG00000035929	1
ENSMUSG00000036814	1
ENSMUSG00000036832	1
ENSMUSG00000037095	1
ENSMUSG00000037321	1
ENSMUSG00000039960	1
ENSMUSG00000040016	1
ENSMUSG00000050244	1
ENSMUSG00000053931	1
ENSMUSG00000055172	1
ENSMUSG00000055413	1
ENSMUSG00000056529	1
ENSMUSG00000060550	1
ENSMUSG00000060802	1
ENSMUSG00000061232	1
ENSMUSG00000067235	1
ENSMUSG00000073409	1
ENSMUSG00000073411	1
ENSMUSG00000073418	1
ENSMUSG00000078945	1
ENSMUSG00000087247	1
ENSMUSG00000092178	1
ENSMUSG00000095041	1
ENSMUSG00000095351	1
ENSMUSG00000102252	1
ENSMUSG00000000184	2
ENSMUSG00000023886	2
ENSMUSG00000027524	2
ENSMUSG00000029687	2
ENSMUSG00000033460	2
ENSMUSG00000034127	2
ENSMUSG00000039804	2
ENSMUSG00000047632	2
ENSMUSG00000050288	2
ENSMUSG00000051579	2
ENSMUSG00000056999	2
ENSMUSG00000067276	2
