ensembl_gene_id	gene_name	AM01_Y_N_R1	AM02_Y_N_R2	AM03_Y_N_R3	AM04_Y_N_R4	AM05_Y_N_R5	AM06_Y_G_R1	AM07_Y_G_R2	AM07_Y_G_R3	AM09_Y_G_R4	AM10_Y_G_R5	AM11_O_N_R1	AM12_O_N_R2	AM13_O_N_R3	AM14_O_N_R4	AM15_O_N_R5	AM16_O_G_R1	AM17_O_G_R2	AM17_O_G_R3	AM19_O_G_R4	AM20_O_G_R5
ENSMUSG00000000001	Gnai3	0.142874794	-0.609211262	-0.415952356	0.570368026	0.293593317	1.342778642	1.058860454	1.114689368	-1.325834148	2.12244051	-0.097187801	-0.497578697	-1.173756027	-2.344959731	-0.306105498	-0.050841612	0.16598357	0.359000261	0.096813245	-0.445975053
ENSMUSG00000000355	Mcts1	-1.198619722	-1.344306999	-1.465934373	0.425338899	-1.215693701	0.630901938	-0.788789645	-0.055102021	-0.237954733	1.29845755	0.069469597	1.669074232	0.098173546	1.583268673	0.895733231	0.250495312	-1.238430634	0.281618572	0.989313259	-0.647012983
ENSMUSG00000000486	Sep1	0.347835168	-1.45968408	-0.813918021	-0.63523336	-2.605090305	0.58932225	0.15676719	0.447446713	-1.020711713	0.062144059	0.644642015	-1.030981085	1.281104041	1.05690637	0.563436631	1.411014447	-0.021894712	0.388174288	0.753944447	-0.115224345
ENSMUSG00000000552	Zfp385a	0.256939312	-0.810523054	0.508438572	-0.690530363	-2.171058433	0.854990921	2.048173886	-0.27925627	-0.110926843	0.733992292	1.013936277	-0.228553264	1.164345987	-0.759913678	-0.987729175	1.106501664	-0.218781285	-1.307535375	-0.445112024	0.322600854
ENSMUSG00000000708	Kat2b	-0.638687342	-1.171272922	-1.536395425	-1.826464374	-0.463905331	-1.678783951	-0.536123136	0.198401647	-0.193897032	0.114919328	0.378840342	0.010917466	1.010675758	0.254636229	1.128530535	0.829903755	0.847304592	0.524834472	1.094764257	1.651801132
ENSMUSG00000000743	Chmp1a	0.369562888	-1.218378158	0.170685572	-0.470411698	-0.897445931	-0.222032288	0.291089544	0.785907339	-0.956726118	1.610407964	1.044245818	0.919677052	1.387745324	1.438002617	-0.826097601	0.432675012	-1.918166437	-1.013405724	-0.71547097	-0.211864205
ENSMUSG00000002365	Snx9	-1.163463174	-1.472358086	-1.328631973	-1.373295903	-1.347460193	0.300948613	1.252943162	-0.063606721	0.793504553	1.83152375	-0.233256324	0.487160799	0.471329767	-0.825226571	-0.144398333	0.750956017	-0.007247382	0.602749833	1.489810947	-0.021982781
ENSMUSG00000003031	Cdkn1b	-1.550957365	-0.724790693	0.55928	1.743620163	1.132421226	0.085036293	0.850434947	0.409287149	0.586640682	0.638351704	-1.468741824	-1.20011374	1.075849516	0.116323233	0.698169592	-1.096560802	-0.557520756	0.058757736	0.345217837	-1.700704898
ENSMUSG00000003039	Fam32a	0.194970652	-0.023733921	-0.716417694	-0.790676418	0.618604642	2.05650723	1.563894815	0.472897616	-0.448697032	1.281398705	-0.389719149	-1.087695288	-0.132053361	0.713311457	-0.029171052	0.393022739	0.132499707	-0.462814715	-1.020446327	-2.325682607
ENSMUSG00000004455	Ppp1cc	-0.752656746	-1.602972736	-0.456425463	-0.696387515	-1.292512596	1.290001225	1.839121393	0.138943402	-0.252397358	1.110167355	0.158607812	-0.424823956	2.477160225	-0.074061869	-0.338685607	0.080258987	-0.398960432	0.066313158	-0.68729676	-0.18339252
ENSMUSG00000004771	Rab11a	-0.2763524	-0.944641745	-0.258602991	-0.510157603	-1.844854368	0.924989142	0.005317597	1.969054436	-1.007591273	1.742310482	0.926755992	-0.852046214	-0.07797502	0.407093744	0.672471301	-0.553571574	-0.751890342	-0.170542261	1.355359467	-0.755126373
ENSMUSG00000005699	Pard6a	0.395393121	0.073424456	-2.274439098	-0.373209876	0.799599942	0.542265005	1.132524203	0.376453003	-0.759320103	1.398245027	-0.087761232	-0.281745597	0.631057423	0.899527237	0.562178388	-1.842405978	-1.818561597	0.026238446	0.032526286	0.568010945
