gene	cluster
ENSMUSG00000000001	1
ENSMUSG00000000355	1
ENSMUSG00000000486	1
ENSMUSG00000000552	1
ENSMUSG00000000708	1
ENSMUSG00000000743	1
ENSMUSG00000002365	1
ENSMUSG00000003031	1
ENSMUSG00000003039	1
ENSMUSG00000004455	1
ENSMUSG00000004771	1
ENSMUSG00000005699	1
ENSMUSG00000007656	1
ENSMUSG00000009907	1
ENSMUSG00000011114	1
ENSMUSG00000014402	1
ENSMUSG00000014668	1
ENSMUSG00000014859	1
ENSMUSG00000015149	1
ENSMUSG00000015971	1
ENSMUSG00000016477	1
ENSMUSG00000016526	1
ENSMUSG00000017421	1
ENSMUSG00000017639	1
ENSMUSG00000018821	1
ENSMUSG00000019794	1
ENSMUSG00000020074	1
ENSMUSG00000020232	1
ENSMUSG00000020271	1
ENSMUSG00000020326	1
ENSMUSG00000020415	1
ENSMUSG00000020516	1
ENSMUSG00000021256	1
ENSMUSG00000021395	1
ENSMUSG00000021483	1
ENSMUSG00000021635	1
ENSMUSG00000021671	1
ENSMUSG00000021918	1
ENSMUSG00000021948	1
ENSMUSG00000022018	1
ENSMUSG00000022089	1
ENSMUSG00000022178	1
ENSMUSG00000022750	1
ENSMUSG00000023572	1
ENSMUSG00000024014	1
ENSMUSG00000024068	1
ENSMUSG00000024190	1
ENSMUSG00000024277	1
ENSMUSG00000024286	1
ENSMUSG00000024817	1
ENSMUSG00000024944	1
ENSMUSG00000025035	1
ENSMUSG00000025269	1
ENSMUSG00000026027	1
ENSMUSG00000026088	1
ENSMUSG00000026276	1
ENSMUSG00000026360	1
ENSMUSG00000026426	1
ENSMUSG00000026749	1
ENSMUSG00000026965	1
ENSMUSG00000027363	1
ENSMUSG00000027646	1
ENSMUSG00000027937	1
ENSMUSG00000028059	1
ENSMUSG00000028224	1
ENSMUSG00000028447	1
ENSMUSG00000028969	1
ENSMUSG00000028999	1
ENSMUSG00000029003	1
ENSMUSG00000029166	1
ENSMUSG00000029385	1
ENSMUSG00000029466	1
ENSMUSG00000029501	1
ENSMUSG00000030105	1
ENSMUSG00000030272	1
ENSMUSG00000030330	1
ENSMUSG00000030602	1
ENSMUSG00000030983	1
ENSMUSG00000031095	1
ENSMUSG00000031176	1
ENSMUSG00000031201	1
ENSMUSG00000031242	1
ENSMUSG00000031347	1
ENSMUSG00000031371	1
ENSMUSG00000031660	1
ENSMUSG00000031787	1
ENSMUSG00000031820	1
ENSMUSG00000031913	1
ENSMUSG00000031921	1
ENSMUSG00000032171	1
ENSMUSG00000032376	1
ENSMUSG00000032504	1
ENSMUSG00000032733	1
ENSMUSG00000033054	1
ENSMUSG00000033209	1
ENSMUSG00000033417	1
ENSMUSG00000033589	1
ENSMUSG00000033628	1
ENSMUSG00000034563	1
ENSMUSG00000035048	1
ENSMUSG00000035342	1
ENSMUSG00000035390	1
ENSMUSG00000035437	1
ENSMUSG00000035828	1
ENSMUSG00000036390	1
ENSMUSG00000036840	1
ENSMUSG00000036850	1
ENSMUSG00000037098	1
ENSMUSG00000038393	1
ENSMUSG00000038619	1
ENSMUSG00000040102	1
ENSMUSG00000040599	1
ENSMUSG00000040957	1
ENSMUSG00000041997	1
ENSMUSG00000042303	1
ENSMUSG00000042417	1
ENSMUSG00000042903	1
ENSMUSG00000044147	1
ENSMUSG00000044303	1
ENSMUSG00000044641	1
ENSMUSG00000046707	1
ENSMUSG00000049680	1
ENSMUSG00000049717	1
ENSMUSG00000050930	1
ENSMUSG00000052062	1
ENSMUSG00000052139	1
ENSMUSG00000052525	1
ENSMUSG00000052934	1
ENSMUSG00000053119	1
ENSMUSG00000053333	1
ENSMUSG00000055128	1
ENSMUSG00000056758	1
ENSMUSG00000057469	1
ENSMUSG00000059552	1
ENSMUSG00000061665	1
ENSMUSG00000063065	1
ENSMUSG00000066149	1
ENSMUSG00000066357	1
ENSMUSG00000067787	1
ENSMUSG00000068580	1
ENSMUSG00000071350	1
ENSMUSG00000073700	1
ENSMUSG00000073802	1
ENSMUSG00000079562	1
ENSMUSG00000090083	1
ENSMUSG00000092074	1
ENSMUSG00000095677	1
ENSMUSG00000000028	2
ENSMUSG00000000902	2
ENSMUSG00000001034	2
ENSMUSG00000001228	2
ENSMUSG00000001403	2
ENSMUSG00000002055	2
ENSMUSG00000002068	2
ENSMUSG00000002297	2
ENSMUSG00000002635	2
ENSMUSG00000002835	2
ENSMUSG00000002870	2
ENSMUSG00000003824	2
ENSMUSG00000004451	2
ENSMUSG00000005233	2
ENSMUSG00000005410	2
ENSMUSG00000006398	2
ENSMUSG00000006585	2
ENSMUSG00000006715	2
ENSMUSG00000006728	2
ENSMUSG00000007721	2
ENSMUSG00000007815	2
ENSMUSG00000008859	2
ENSMUSG00000012429	2
ENSMUSG00000012443	2
ENSMUSG00000014355	2
ENSMUSG00000015120	2
ENSMUSG00000017146	2
ENSMUSG00000017499	2
ENSMUSG00000017716	2
ENSMUSG00000018509	2
ENSMUSG00000018983	2
ENSMUSG00000019773	2
ENSMUSG00000019942	2
ENSMUSG00000019978	2
ENSMUSG00000019988	2
ENSMUSG00000020107	2
ENSMUSG00000020185	2
ENSMUSG00000020235	2
ENSMUSG00000020272	2
ENSMUSG00000020307	2
ENSMUSG00000020372	2
ENSMUSG00000020492	2
ENSMUSG00000020525	2
ENSMUSG00000020808	2
ENSMUSG00000020897	2
ENSMUSG00000021103	2
ENSMUSG00000021115	2
ENSMUSG00000021131	2
ENSMUSG00000021276	2
ENSMUSG00000021537	2
ENSMUSG00000021548	2
ENSMUSG00000021595	2
ENSMUSG00000021693	2
ENSMUSG00000021965	2
ENSMUSG00000022034	2
ENSMUSG00000022070	2
ENSMUSG00000022177	2
ENSMUSG00000022314	2
ENSMUSG00000022369	2
ENSMUSG00000022422	2
ENSMUSG00000022456	2
ENSMUSG00000022673	2
ENSMUSG00000022678	2
ENSMUSG00000022802	2
ENSMUSG00000022945	2
ENSMUSG00000022978	2
ENSMUSG00000023015	2
ENSMUSG00000023505	2
ENSMUSG00000023908	2
ENSMUSG00000023932	2
ENSMUSG00000023940	2
ENSMUSG00000024042	2
ENSMUSG00000024056	2
ENSMUSG00000024151	2
ENSMUSG00000024235	2
ENSMUSG00000024576	2
