ensembl_gene_id	gene_name	SC01_T3_N_AMD_R1	SC02_T3_N_AMD_R2	SC03_T3_N_AMD_R3	SC04_T3_N_AMD_R4	SC01_T3_N_AMR_R1	SC02_T3_N_AMR_R2	SC03_T3_N_AMR_R3	SC04_T3_N_AMR_R4	SC06_T6_N_AMD_R1	SC07_T6_N_AMD_R2	SC08_T6_N_AMD_R3	SC09_T6_N_AMD_R4	SC10_T6_N_AMD_R5	SC06_T6_N_AMR_R1	SC07_T6_N_AMR_R2	SC08_T6_N_AMR_R3	SC09_T6_N_AMR_R4	SC10_T6_N_AMR_R5	SC11_T18_N_AMD_R1	SC12_T18_N_AMD_R2	SC13_T18_N_AMD_R3	SC14_T18_N_AMD_R4	SC15_T18_N_AMD_R5	SC11_T18_N_AMR_R1	SC12_T18_N_AMR_R2	SC13_T18_N_AMR_R3	SC14_T18_N_AMR_R4	SC15_T18_N_AMR_R5	SC16_T24_N_AMD_R1	SC17_T24_N_AMD_R2	SC18_T24_N_AMD_R3	SC19_T24_N_AMD_R4	SC16_T24_N_AMR_R1	SC17_T24_N_AMR_R2	SC18_T24_N_AMR_R3	SC19_T24_N_AMR_R4
ENSMUSG00000000058	Cav2	-0.567276403	-1.243289048	-1.623527024	-0.18791634	-1.054800752	-0.765352587	-1.950630619	-0.058004107	0.273636541	-0.024644503	-0.656389584	-1.134455765	-0.824353921	0.876640969	0.048635054	-0.833124029	-0.133183517	0.189278349	0.330609877	0.12425498	0.587878074	0.386865614	-1.1219831	-0.080965755	-0.347107866	0.42245235	0.269735224	-0.470157149	-0.414615463	0.518025502	1.396875254	1.37254267	1.791988008	0.913840994	3.045248922	0.943269148
ENSMUSG00000000085	Scmh1	-1.533627704	-0.852167431	-1.098428803	-2.150998961	-1.38418033	-1.543505183	0.199143801	-0.532734777	-1.222858426	0.548088776	-0.014669705	0.799018734	-0.035131715	0.386670645	-0.536142782	-0.288343017	-0.925280739	0.229350031	0.494065793	0.278735605	1.691993421	-0.695867599	-0.045654009	0.452504477	0.991028017	1.170359488	0.151231663	0.881151208	1.722810873	0.531251507	0.802564131	-1.270837195	-0.142487986	1.413356762	-0.20424381	1.733835239
ENSMUSG00000000326	Comt	-2.088948338	-1.442076361	-0.739531957	-1.334297661	-1.509189456	-0.468018886	-0.905758637	-0.729450449	-1.253420603	-1.617202968	-0.536874561	-0.329182643	0.02353318	0.051550387	-0.620980805	-0.094271412	-0.237924535	0.002153272	0.08640766	0.737523158	0.770604928	0.617626735	1.38337243	0.166094678	1.121458529	-0.696722719	1.28586271	1.369731268	1.130308881	0.715603407	0.310069614	0.490639874	1.5328607	1.879840313	0.748070549	0.180539717
ENSMUSG00000000555	Itga5	0.213722271	0.334091002	-0.301230646	1.093730622	-0.720366282	-0.682672569	-0.493922292	-0.21609343	-0.113063995	-0.33925618	-0.237231832	-1.742939732	-0.844137206	-0.908194169	-0.606560378	-0.803001679	-1.17158225	-0.877001995	0.792663242	1.132165635	2.186981954	1.808551773	0.149568442	0.764517117	1.221474021	1.532334512	0.804075889	0.679936712	-0.302590689	1.558259689	0.53668338	0.132634945	-1.031325918	-1.811436939	-0.582465364	-1.156317659
ENSMUSG00000000561	Wdr77	0.370053331	0.141215356	0.134925126	0.289170304	0.166595701	1.127961102	-0.646462029	0.612628748	-1.525760868	-0.839044337	0.228600252	-0.574691674	-0.8380879	-0.697253253	-0.777457335	-1.585500073	-1.202096369	-0.863617105	1.928819557	0.190583358	1.66325619	2.061512562	0.498445874	0.791648916	0.925296422	-0.133550164	-0.632927627	0.287106922	1.384051115	0.741659663	-1.076523374	1.288325129	-0.680855418	-0.006576709	-1.690024118	-1.061427274
ENSMUSG00000000581	C1d	1.316487848	-1.293216662	-0.952527735	-0.277337806	0.766439332	0.388835272	-0.548474058	-0.705214053	0.279097173	-1.625584701	0.108806196	-0.813717682	-1.238816721	0.531979486	-0.947332719	-1.431196421	0.041084527	-0.018503565	1.057896076	1.095085815	1.025266266	2.502543769	1.196827503	-0.776063524	0.222947689	-0.875299703	0.281167212	0.0092336	1.166089962	1.30797235	-0.405039463	1.120537139	-0.026861207	-0.322689406	-1.923684621	-0.236737169
ENSMUSG00000000740	Rpl13	-0.603305047	0.106395787	-0.765249425	-0.718791276	-0.608620481	-0.292768871	-1.244068419	-0.853354187	-1.133895449	-0.638498885	-1.358504262	-0.794582813	-0.954830426	-0.610642196	-0.537783158	-0.73287657	-0.818058646	-0.568058074	0.81533366	0.900286229	1.584242142	0.888668611	1.330951964	1.004299751	0.345723108	0.30482201	-0.636607549	1.055941588	1.956994973	1.235727665	-1.599164547	0.866429792	1.46239919	1.79909967	-0.38691712	0.19926126
ENSMUSG00000000805	Car4	0.311106979	-0.419730671	-0.19206607	0.300743069	-1.310397025	-1.524631469	-0.898431845	-0.984083934	-0.770206149	-0.668963092	-0.636296776	-1.089791894	-0.522755209	-0.82909924	-1.368015874	-1.637979448	-1.259055286	-1.02012877	0.5798559	0.901873582	1.771026199	0.86080841	-0.053765991	0.907067281	0.959905505	1.145054548	0.376306035	0.706583935	0.462080599	1.420959162	-0.506540369	1.757305382	1.06777963	1.498073281	0.555037799	0.110371818
ENSMUSG00000000881	Dlg3	0.650587841	-1.311858023	-1.311858023	0.124957409	-1.311858023	-0.707160167	-0.678466397	-0.687215305	-1.311858023	-0.660707476	0.504703173	-1.311858023	0.285139922	-1.311858023	-0.28057774	-0.685507997	-0.297758219	-0.719718571	0.813826055	-0.230603191	0.490466997	1.87382758	2.358008023	-0.132757555	0.654824059	0.847037972	1.082393498	0.41634415	1.713551912	1.154803681	1.073039665	-0.222041834	-0.687745066	0.6986589	0.431094849	-1.311858023
ENSMUSG00000000957	Mmp14	0.231774279	0.40672481	-0.678047333	0.16052692	-1.292287099	-0.964791152	-0.011820666	-0.52301615	-0.422317039	-1.292287099	0.138571775	-0.247503866	0.756525224	-0.2418191	-0.39789202	-0.235190556	-0.743064753	-0.164233837	0.529585668	-0.706694524	0.639140707	2.48105535	-0.692354888	-0.036960513	-0.949355782	-0.953812802	-0.344829772	-1.292287099	1.64915863	3.138225405	0.965115373	1.158748131	-0.954276204	0.658487547	-0.34832807	0.579530505
ENSMUSG00000000983	Wfdc18	0.076228147	1.031712801	-0.62792172	-0.62792172	0.000263916	-0.62792172	-0.62792172	-0.62792172	-0.62792172	0.098440344	-0.62792172	-0.62792172	-0.62792172	-0.62792172	-0.62792172	-0.62792172	-0.62792172	-0.62792172	0.707552101	-0.62792172	-0.62792172	1.921167803	0.095502835	-0.62792172	0.078414362	-0.62792172	-0.62792172	-0.62792172	1.970871047	3.279431645	2.032444939	0.980680199	-0.62792172	1.014926051	-0.62792172	0.526641644
ENSMUSG00000001053	N4bp3	-2.249403854	-1.643220755	-0.879056995	-1.510009996	-0.495467172	0.096513841	-0.933250174	-0.411158085	-0.081248357	-0.845240274	-1.55865327	-0.372022591	-1.35908158	0.181065662	-0.009431841	-0.236325699	-0.070321065	-0.581299484	0.24854342	0.850442558	1.007959406	-0.698921272	0.710289378	1.824047685	0.380314773	0.648250993	0.44679776	2.182687339	-0.27535277	0.514587479	0.56539593	0.526218463	1.585667702	0.911415862	0.430354895	1.098912088
ENSMUSG00000001054	Rmnd5b	0.100987754	-2.583728854	0.559107005	-1.59596383	-0.490255154	-0.913951792	-0.23200082	-0.759289835	-0.539553708	-0.585743556	-0.023652979	-1.011175982	-0.745431698	0.437035081	-1.423145838	-0.66010017	-0.108093658	-1.631923459	0.480618784	1.837027122	0.956254094	1.882815081	1.654727749	1.056507837	0.3590441	0.192723405	0.600103503	0.711124069	-0.643767074	0.283003051	0.084626947	1.117554136	0.795921005	0.844921031	-0.28537147	0.279048122
ENSMUSG00000001127	Araf	-0.864992858	-1.231014985	-0.45423545	-0.058989915	-1.558580293	-0.77253588	-0.865982902	-0.593220112	-0.869175816	0.212920983	-0.51144107	-0.600426469	-1.140929919	-1.13932895	-0.724921704	-0.319731243	-0.932436576	-0.968308145	-0.451040314	-0.251725789	0.095683923	1.010831052	1.93149925	0.613024087	1.364372421	2.342337116	1.36725444	0.23405306	1.94019611	0.990702193	0.08899802	1.23836596	-0.460834712	0.754881123	0.182041242	0.402692122
ENSMUSG00000001158	Snrnp27	-0.134487415	0.026696049	-0.877430299	-0.381638298	-0.943104658	-0.622609759	-1.294573349	-0.772583783	0.102648509	-1.262483526	-0.836644261	-0.265474617	-0.95756326	0.618881104	-1.13297815	-1.320057291	-1.784081952	-0.116700777	-0.266319034	-0.093812504	0.963887574	0.37336077	1.309064768	-0.135973345	2.410334282	0.267478658	-0.383871489	1.343230888	1.186042475	2.089498385	-0.800052631	0.952749625	1.247377607	0.833540432	0.086452966	0.571196305
ENSMUSG00000001227	Sema6b	0.388708636	-0.785852296	-0.392038622	0.099499768	-1.052723721	-0.809580374	-0.986862442	-0.066147378	-1.031774091	-1.106202477	0.02183818	-1.136361478	-0.72911283	-2.229027061	-0.869718098	-0.264793474	-1.662081574	-0.26287457	1.23280069	0.776790805	1.392976591	1.170240526	0.367854757	-0.184359218	0.238914848	0.36221025	0.08641971	0.964264263	0.939248507	1.900876162	0.057835078	2.373118613	-0.160863733	1.281801404	0.206778062	-0.131803415
ENSMUSG00000001248	Gramd1a	0.580534078	-0.013735192	0.063429944	0.575766725	-1.178835625	-0.108689065	-1.075807832	-1.221508655	-0.954270051	1.024416279	0.922276878	0.385512676	-0.964227741	-0.712831295	-0.685333841	-0.93400562	-1.292929619	-1.212297343	-1.415438677	0.877937991	1.333102931	0.630500948	1.24786811	-0.286964496	0.170381109	1.1034238	1.234366674	-0.089124625	1.191998156	2.414190309	0.874202903	0.358985334	-0.205884202	-1.072893809	0.075319585	-1.639436741
ENSMUSG00000001289	Pfdn5	-1.323675192	-0.754938149	-1.107580589	-2.200092614	0.212036908	-0.277430926	-0.655862486	-0.135368388	-0.348607586	-0.834138676	-0.828608546	-0.723609854	-0.957252444	0.079783696	0.716126655	0.200909684	-0.099999836	-0.745343824	1.236751777	0.879886068	0.791441749	0.656268148	1.703955365	0.356914278	0.418551116	0.075808603	-0.317498676	1.449147585	0.623880157	-0.207885931	-2.703232158	0.855880211	1.631190117	1.11715026	0.805347259	0.410096241
ENSMUSG00000001418	Glmp	-2.107040737	-0.972386489	-1.465232784	-1.262235342	-0.307152723	-0.19765978	-0.375007511	-0.42977627	-0.293362459	-1.40194222	-1.373955415	-0.321280873	-0.601166366	1.900638484	-0.199148224	-0.14129872	-0.781794408	-0.469242587	-0.165631856	-0.553140303	0.389220091	0.300249959	0.095986069	1.800058522	1.487900844	0.298285417	0.713970348	1.119670984	0.374782618	1.168134835	-0.798340669	1.575992355	0.755646028	1.123920019	1.43337376	-0.321034601
ENSMUSG00000001467	Cyp51	0.838303384	0.677705256	-0.686269972	0.790910855	-0.998077024	-0.872960505	-1.273190309	-0.838106663	-1.018302947	0.069562376	0.406408772	0.146646936	0.098085983	-2.139004741	-0.907199983	-1.306140006	-1.115813267	-0.874517862	0.554113777	1.601939847	2.409138938	0.670196857	-0.031831028	-0.736601816	0.652440421	0.249365126	0.174289689	-0.205551235	1.259092456	2.256243204	0.611234197	0.515201751	-0.394326731	0.370663617	-0.391665562	-0.561983792
ENSMUSG00000001525	Tubb5	1.225394427	0.554242168	-0.294127937	1.177524174	-0.350278029	-0.091542679	-1.271569795	-0.561936043	-0.287095789	-0.760413266	-0.353403421	-1.806242151	0.145240671	0.10796604	-0.374708366	-0.227722829	-1.098549757	-0.964136912	2.230599585	1.553122978	1.347639954	0.14422559	1.260112789	1.828262405	0.296850928	-0.048642805	0.262902086	1.026918121	0.38064863	-0.022662057	-1.971458796	0.302890574	-0.058491738	-0.972187929	-1.377196696	-0.952174125
ENSMUSG00000001751	Naglu	0.231786487	-1.120462069	-0.678961555	-0.110094619	-1.004950716	-0.423867638	-0.124660331	-0.111761718	-1.108535866	-0.919191615	-0.268976527	-0.815993647	-1.228169861	0.175094798	-0.130528339	-0.058729265	-0.053443409	-0.18333965	0.362919859	-0.860972963	-1.117806504	-0.402462656	-0.861138003	0.992855233	0.93917408	0.019911031	0.126702856	0.138550513	0.565676591	1.897029071	-0.504445835	1.77109698	0.515410417	3.862367364	0.088164373	0.401753132
ENSMUSG00000001794	Capns1	-0.628449919	-1.118012187	-1.19109658	-1.318112691	0.757332228	-0.349469757	-0.306526544	-0.348261552	-1.222169153	-0.585342079	-2.190610493	-1.1912707	-1.752403122	1.11118244	-0.841245509	-0.993432991	0.070930429	-0.30330934	0.823413653	-0.576859971	0.817190341	0.836018776	1.073854701	0.983256907	1.112978968	0.036594901	-0.410269276	1.108918356	0.009122635	1.702424818	0.397748012	1.431415648	1.042188531	1.085979825	0.780159032	0.146131661
