id	Group
SC01_T3_N_AMD_R1	months_3
SC02_T3_N_AMD_R2	months_3
SC03_T3_N_AMD_R3	months_3
SC04_T3_N_AMD_R4	months_3
SC01_T3_N_AMR_R1	months_3
SC02_T3_N_AMR_R2	months_3
SC03_T3_N_AMR_R3	months_3
SC04_T3_N_AMR_R4	months_3
SC06_T6_N_AMD_R1	months_6
SC07_T6_N_AMD_R2	months_6
SC08_T6_N_AMD_R3	months_6
SC09_T6_N_AMD_R4	months_6
SC10_T6_N_AMD_R5	months_6
SC06_T6_N_AMR_R1	months_6
SC07_T6_N_AMR_R2	months_6
SC08_T6_N_AMR_R3	months_6
SC09_T6_N_AMR_R4	months_6
SC10_T6_N_AMR_R5	months_6
SC11_T18_N_AMD_R1	months_18
SC12_T18_N_AMD_R2	months_18
SC13_T18_N_AMD_R3	months_18
SC14_T18_N_AMD_R4	months_18
SC15_T18_N_AMD_R5	months_18
SC11_T18_N_AMR_R1	months_18
SC12_T18_N_AMR_R2	months_18
SC13_T18_N_AMR_R3	months_18
SC14_T18_N_AMR_R4	months_18
SC15_T18_N_AMR_R5	months_18
SC16_T24_N_AMD_R1	months_24
SC17_T24_N_AMD_R2	months_24
SC18_T24_N_AMD_R3	months_24
SC19_T24_N_AMD_R4	months_24
SC16_T24_N_AMR_R1	months_24
SC17_T24_N_AMR_R2	months_24
SC18_T24_N_AMR_R3	months_24
SC19_T24_N_AMR_R4	months_24
