gene	cluster
ENSMUSG00000000058	1
ENSMUSG00000000085	1
ENSMUSG00000000326	1
ENSMUSG00000000555	1
ENSMUSG00000000561	1
ENSMUSG00000000581	1
ENSMUSG00000000740	1
ENSMUSG00000000805	1
ENSMUSG00000000881	1
ENSMUSG00000000957	1
ENSMUSG00000000983	1
ENSMUSG00000001053	1
ENSMUSG00000001054	1
ENSMUSG00000001127	1
ENSMUSG00000001158	1
ENSMUSG00000001227	1
ENSMUSG00000001248	1
ENSMUSG00000001289	1
ENSMUSG00000001418	1
ENSMUSG00000001467	1
ENSMUSG00000001525	1
ENSMUSG00000001751	1
ENSMUSG00000001794	1
ENSMUSG00000002014	1
ENSMUSG00000002015	1
ENSMUSG00000002059	1
ENSMUSG00000002102	1
ENSMUSG00000002108	1
ENSMUSG00000002111	1
ENSMUSG00000002233	1
ENSMUSG00000002325	1
ENSMUSG00000002379	1
ENSMUSG00000002395	1
ENSMUSG00000002458	1
ENSMUSG00000002728	1
ENSMUSG00000002733	1
ENSMUSG00000002767	1
ENSMUSG00000002768	1
ENSMUSG00000002831	1
ENSMUSG00000002871	1
ENSMUSG00000002910	1
ENSMUSG00000003072	1
ENSMUSG00000003166	1
ENSMUSG00000003355	1
ENSMUSG00000003380	1
ENSMUSG00000003429	1
ENSMUSG00000003546	1
ENSMUSG00000003665	1
ENSMUSG00000003680	1
ENSMUSG00000003873	1
ENSMUSG00000003970	1
ENSMUSG00000004040	1
ENSMUSG00000004043	1
ENSMUSG00000004151	1
ENSMUSG00000004207	1
ENSMUSG00000004266	1
ENSMUSG00000004446	1
ENSMUSG00000004455	1
ENSMUSG00000004500	1
ENSMUSG00000004530	1
ENSMUSG00000004667	1
ENSMUSG00000004934	1
ENSMUSG00000004952	1
ENSMUSG00000005043	1
ENSMUSG00000005054	1
ENSMUSG00000005510	1
ENSMUSG00000005779	1
ENSMUSG00000005802	1
ENSMUSG00000005824	1
ENSMUSG00000005881	1
ENSMUSG00000006024	1
ENSMUSG00000006333	1
ENSMUSG00000006360	1
ENSMUSG00000006373	1
ENSMUSG00000006390	1
ENSMUSG00000006411	1
ENSMUSG00000006519	1
ENSMUSG00000006715	1
ENSMUSG00000006731	1
ENSMUSG00000006732	1
ENSMUSG00000006818	1
ENSMUSG00000007041	1
ENSMUSG00000007476	1
ENSMUSG00000007656	1
ENSMUSG00000007892	1
ENSMUSG00000008035	1
ENSMUSG00000008036	1
ENSMUSG00000008668	1
ENSMUSG00000008682	1
ENSMUSG00000008683	1
ENSMUSG00000009013	1
ENSMUSG00000009549	1
ENSMUSG00000009563	1
ENSMUSG00000009585	1
ENSMUSG00000009863	1
ENSMUSG00000009927	1
ENSMUSG00000009995	1
ENSMUSG00000010048	1
ENSMUSG00000010376	1
ENSMUSG00000010406	1
ENSMUSG00000010608	1
ENSMUSG00000010663	1
ENSMUSG00000011752	1
ENSMUSG00000011884	1
ENSMUSG00000012405	1
ENSMUSG00000012848	1
ENSMUSG00000013089	1
ENSMUSG00000013160	1
ENSMUSG00000013584	1
ENSMUSG00000013622	1
ENSMUSG00000013822	1
ENSMUSG00000014226	1
ENSMUSG00000014313	1
ENSMUSG00000014599	1
ENSMUSG00000014602	1
ENSMUSG00000014769	1
ENSMUSG00000015013	1
ENSMUSG00000015092	1
ENSMUSG00000015290	1
ENSMUSG00000015291	1
ENSMUSG00000015575	1
ENSMUSG00000015665	1
ENSMUSG00000015668	1
ENSMUSG00000015671	1
ENSMUSG00000015709	1
ENSMUSG00000015714	1
ENSMUSG00000015759	1
ENSMUSG00000015766	1
ENSMUSG00000015968	1
ENSMUSG00000015980	1
ENSMUSG00000016252	1
ENSMUSG00000016256	1
ENSMUSG00000016283	1
ENSMUSG00000016308	1
ENSMUSG00000016319	1
ENSMUSG00000016427	1
ENSMUSG00000016495	1
ENSMUSG00000016496	1
ENSMUSG00000016534	1
ENSMUSG00000016984	1
ENSMUSG00000017002	1
ENSMUSG00000017057	1
ENSMUSG00000017390	1
ENSMUSG00000017404	1
ENSMUSG00000017713	1
ENSMUSG00000017715	1
ENSMUSG00000017778	1
ENSMUSG00000017831	1
ENSMUSG00000018217	1
ENSMUSG00000018286	1
ENSMUSG00000018428	1
ENSMUSG00000018442	1
ENSMUSG00000018446	1
ENSMUSG00000018500	1
ENSMUSG00000018559	1
ENSMUSG00000018567	1
ENSMUSG00000018677	1
ENSMUSG00000018774	1
ENSMUSG00000018920	1
ENSMUSG00000018927	1
ENSMUSG00000018983	1
ENSMUSG00000019087	1
ENSMUSG00000019088	1
ENSMUSG00000019158	1
ENSMUSG00000019194	1
ENSMUSG00000019433	1
ENSMUSG00000019558	1
ENSMUSG00000019578	1
ENSMUSG00000019590	1
ENSMUSG00000019738	1
ENSMUSG00000019790	1
ENSMUSG00000019806	1
ENSMUSG00000019852	1
ENSMUSG00000019929	1
ENSMUSG00000019987	1
ENSMUSG00000020018	1
ENSMUSG00000020022	1
ENSMUSG00000020032	1
ENSMUSG00000020056	1
ENSMUSG00000020057	1
ENSMUSG00000020116	1
ENSMUSG00000020225	1
ENSMUSG00000020261	1
ENSMUSG00000020264	1
ENSMUSG00000020265	1
ENSMUSG00000020267	1
ENSMUSG00000020328	1
ENSMUSG00000020334	1
ENSMUSG00000020340	1
ENSMUSG00000020372	1
ENSMUSG00000020376	1
ENSMUSG00000020377	1
ENSMUSG00000020422	1
ENSMUSG00000020458	1
ENSMUSG00000020460	1
ENSMUSG00000020519	1
ENSMUSG00000020577	1
ENSMUSG00000020589	1
ENSMUSG00000020740	1
ENSMUSG00000020774	1
ENSMUSG00000020803	1
ENSMUSG00000020806	1
ENSMUSG00000020844	1
ENSMUSG00000020865	1
ENSMUSG00000020889	1
ENSMUSG00000020993	1
ENSMUSG00000021024	1
ENSMUSG00000021040	1
ENSMUSG00000021067	1
ENSMUSG00000021096	1
ENSMUSG00000021109	1
ENSMUSG00000021124	1
ENSMUSG00000021178	1
ENSMUSG00000021211	1
ENSMUSG00000021240	1
ENSMUSG00000021242	1
ENSMUSG00000021263	1
ENSMUSG00000021273	1
ENSMUSG00000021290	1
ENSMUSG00000021423	1
ENSMUSG00000021431	1
ENSMUSG00000021458	1
ENSMUSG00000021477	1
ENSMUSG00000021486	1
ENSMUSG00000021504	1
ENSMUSG00000021520	1
ENSMUSG00000021552	1
ENSMUSG00000021576	1
ENSMUSG00000021606	1
ENSMUSG00000021665	1
ENSMUSG00000021814	1
ENSMUSG00000021822	1
ENSMUSG00000021876	1
ENSMUSG00000021930	1
ENSMUSG00000021939	1
ENSMUSG00000021950	1
ENSMUSG00000021957	1
ENSMUSG00000021967	1
ENSMUSG00000021996	1
ENSMUSG00000022090	1
ENSMUSG00000022120	1
ENSMUSG00000022131	1
ENSMUSG00000022150	1
ENSMUSG00000022184	1
ENSMUSG00000022186	1
ENSMUSG00000022193	1
ENSMUSG00000022216	1
ENSMUSG00000022220	1
ENSMUSG00000022221	1
ENSMUSG00000022246	1
ENSMUSG00000022257	1
ENSMUSG00000022265	1
ENSMUSG00000022272	1
ENSMUSG00000022312	1
ENSMUSG00000022346	1
ENSMUSG00000022351	1
ENSMUSG00000022354	1
ENSMUSG00000022450	1
ENSMUSG00000022452	1
ENSMUSG00000022463	1
ENSMUSG00000022544	1
ENSMUSG00000022552	1
ENSMUSG00000022586	1
ENSMUSG00000022587	1
ENSMUSG00000022665	1
ENSMUSG00000022667	1
ENSMUSG00000022707	1
ENSMUSG00000022756	1
ENSMUSG00000022816	1
ENSMUSG00000022890	1
ENSMUSG00000022947	1
ENSMUSG00000022956	1
ENSMUSG00000022965	1
ENSMUSG00000022969	1
ENSMUSG00000022971	1
ENSMUSG00000022982	1
ENSMUSG00000022987	1
ENSMUSG00000022992	1
ENSMUSG00000023030	1
ENSMUSG00000023048	1
ENSMUSG00000023074	1
ENSMUSG00000023078	1
ENSMUSG00000023089	1
ENSMUSG00000023106	1
ENSMUSG00000023170	1
ENSMUSG00000023206	1
ENSMUSG00000023452	1
ENSMUSG00000023456	1
ENSMUSG00000023460	1
ENSMUSG00000023473	1
ENSMUSG00000023707	1
ENSMUSG00000023830	1
ENSMUSG00000023832	1
ENSMUSG00000023905	1
ENSMUSG00000023990	1
ENSMUSG00000023992	1
ENSMUSG00000024066	1
ENSMUSG00000024099	1
ENSMUSG00000024121	1
ENSMUSG00000024181	1
ENSMUSG00000024208	1
ENSMUSG00000024235	1
ENSMUSG00000024247	1
ENSMUSG00000024248	1
ENSMUSG00000024308	1
ENSMUSG00000024309	1
ENSMUSG00000024338	1
ENSMUSG00000024349	1
ENSMUSG00000024378	1
ENSMUSG00000024387	1
ENSMUSG00000024480	1
ENSMUSG00000024513	1
ENSMUSG00000024516	1
ENSMUSG00000024528	1
ENSMUSG00000024535	1
ENSMUSG00000024570	1
ENSMUSG00000024580	1
ENSMUSG00000024597	1
ENSMUSG00000024608	1
ENSMUSG00000024661	1
ENSMUSG00000024672	1
ENSMUSG00000024679	1
ENSMUSG00000024696	1
ENSMUSG00000024725	1
ENSMUSG00000024776	1
ENSMUSG00000024799	1
