ensembl_gene_id	gene_name	AM01_Y_N_R1	AM02_Y_N_R2	AM03_Y_N_R3	AM04_Y_N_R4	AM05_Y_N_R5	AM06_Y_G_R1	AM07_Y_G_R2	AM07_Y_G_R3	AM09_Y_G_R4	AM10_Y_G_R5	AM11_O_N_R1	AM12_O_N_R2	AM13_O_N_R3	AM14_O_N_R4	AM15_O_N_R5	AM16_O_G_R1	AM17_O_G_R2	AM17_O_G_R3	AM19_O_G_R4	AM20_O_G_R5
ENSMUSG00000000266	Mid2	-1.050119427	-0.869067274	-0.303400639	-0.284541288	-1.635730572	-1.501684014	-0.607726484	-1.109148175	-0.42622775	-1.027203773	1.032110498	0.709659038	0.610066536	1.27077043	1.599322518	0.15389828	1.125713392	0.767826175	0.690711842	0.854770688
ENSMUSG00000000538	Tom1l2	-0.955666388	-0.885213886	-0.904525843	-0.800960827	-0.733619512	-1.796685991	-1.162191772	0.056354942	0.249639625	-1.317149229	0.151987196	0.497573556	-0.036339796	1.174263906	1.361436547	0.646364669	1.286951785	1.028243587	1.042250291	1.09728714
ENSMUSG00000000915	Hip1r	-0.058817291	-0.143170219	0.103759737	-0.513238635	0.600831534	-2.372689772	-2.442169137	0.254100685	-0.758045758	-1.055574911	1.116924259	0.831781269	-0.075682464	0.773196647	0.636953057	0.368065599	0.716573491	0.583874627	0.598647579	0.834679704
ENSMUSG00000001025	S100a6	-0.743196704	-1.432493486	-0.852089234	-0.437508166	-1.451129877	-0.641640373	-1.050532366	-0.818694846	-0.313014562	-0.332042809	1.368283261	1.229844449	-0.765199221	0.51234668	0.527829447	1.809509579	0.697475296	0.600317329	1.32698119	0.764954415
ENSMUSG00000001627	Ifrd1	-0.766468661	0.131292441	-0.431380475	-0.315752682	-0.472832894	-2.20155995	-0.892076097	-0.016682862	-1.046717845	-1.767983673	0.947580156	1.045650972	1.468555444	1.052308611	0.502597475	0.258950658	0.966951817	0.969136816	0.737458379	-0.169027631
ENSMUSG00000002006	Pdzd4	-0.833165143	-0.2172828	-0.757573549	-1.854888716	-0.198879611	-0.579183358	-0.138050424	-0.856417624	-0.491712929	-2.158885567	1.060786539	0.610509451	1.387500062	0.074084342	0.954394314	0.556522069	1.035313359	0.250552103	1.3074899	0.848887583
ENSMUSG00000002732	Fkbp7	0.129506027	-1.27446027	-1.212772847	-0.201653039	-0.909023889	-0.852638232	-1.599078601	-0.420349068	-0.450687879	-0.706518102	1.185996558	0.977893	0.979246386	1.010149647	1.049470105	1.70582584	-1.182317777	0.504250864	0.791278187	0.47588309
ENSMUSG00000002831	Plin4	-0.61575153	-0.754455202	-1.137385326	-0.752613851	-1.121272085	-1.147479904	-0.71384149	-0.3365499	-1.537971317	-1.046459763	0.89261264	0.673325301	1.439240791	1.384006136	0.722770021	0.792291285	0.291996634	1.273969886	0.797470901	0.896096771
ENSMUSG00000003665	Has1	-0.94761023	-1.033484157	-0.628639492	-0.498030115	-1.214527342	-1.565100134	-1.105684729	-0.349129095	-1.006212102	-0.638267688	0.888805251	1.481661276	0.011221496	1.171073529	1.167244585	1.059403532	0.402475741	0.709968884	1.047379516	1.047451274
ENSMUSG00000005125	Ndrg1	-0.254342653	-0.146945227	-0.352765056	-0.23743038	-0.869541144	-1.544783662	-2.207669868	-0.769962714	-0.755955144	-1.031846833	1.410170644	1.224494135	0.622316057	0.838863956	1.247914734	0.352193143	0.102028042	0.342600383	1.15275526	0.877906328
ENSMUSG00000005360	Slc1a3	-0.453042834	-0.573051081	-0.585538803	-0.588466851	-0.913008915	-1.90993628	-1.82194708	-0.204089314	-1.013317212	-0.723716035	0.800309582	0.813866874	0.469148267	1.232063602	1.001391667	0.641827704	0.62675281	1.243650096	0.786513275	1.170590529
ENSMUSG00000008348	Ubc	1.096411698	0.788942351	1.45967484	-0.184657323	0.723836969	-0.839299967	-1.365978943	-0.714103187	-1.619860064	-0.891601607	-0.359702442	1.488258598	0.889249538	1.437816822	0.171002264	-0.867329924	-0.689700364	-0.324434798	-0.936836457	0.738311997
ENSMUSG00000008540	Mgst1	-0.779364105	-0.802685381	-1.102869949	-0.678853602	-0.661082961	-0.797701067	-1.725546912	0.239082623	-1.952429782	0.575906076	0.271371814	0.829276537	0.759094453	1.24250465	1.445322633	0.487662088	0.093715431	0.546304647	0.628704469	1.381588339
ENSMUSG00000015222	Map2	-0.829092578	-0.763397976	0.094538151	-0.365323065	-0.691916946	-1.017578486	0.013634957	-1.818271024	-1.363806981	-1.381472311	1.397868762	1.601002669	0.453310578	0.625297973	0.974776191	0.419655113	0.24483928	0.295529263	0.616876987	1.493529445
ENSMUSG00000018143	Mafk	1.329309924	1.098178936	0.166449984	0.189014206	0.216936741	-2.067988619	-1.527806403	-0.747996263	-0.704973674	-2.002331004	1.105330742	0.985661575	0.147982858	0.75650404	0.739708387	-0.022826677	-0.36246915	0.838571576	-0.242815244	0.105558065
ENSMUSG00000018363	Smurf2	-1.186603062	-1.327307068	-0.66696942	0.358327826	-0.576350782	-2.32904549	-0.38175752	0.389655637	-1.090607047	-0.631907092	0.573341954	0.598448616	-0.368952891	0.853874908	1.039446979	0.607071579	0.8339708	0.682628121	1.233530805	1.389203148
ENSMUSG00000018378	Cuedc1	-0.54760621	0.238954768	-0.18481441	-0.496668101	-1.281517257	-1.076386833	-1.146900309	-0.703235436	-0.560437236	-1.406455867	0.886655775	1.291262054	2.323169282	0.475796713	0.79714666	-0.998048997	0.285797854	0.50705047	0.535589286	1.060647795
ENSMUSG00000018800	Abca5	-1.013447964	-0.580187113	0.046200806	-1.135924719	-0.378276246	-1.389852794	-1.810788136	-0.501686264	-0.272231237	-1.279795773	1.152370683	1.198143343	-0.166998136	1.391462909	1.104870212	0.174110484	0.777209381	0.77158849	0.861259642	1.051972432
ENSMUSG00000019087	Atp6ap1	-1.043370195	-1.323299309	-0.496615952	-0.490277501	-0.136787799	-0.568021313	-1.54202148	-1.083742361	-1.177492926	-0.04339147	0.404341148	1.284655508	1.024197789	0.999064394	1.45544815	-0.449796433	0.344872937	0.36355939	1.905137761	0.57353966
ENSMUSG00000019302	Atp6v0a1	0.033059403	0.669480686	0.195004049	-1.211916275	-1.350098008	-1.061343475	-1.040812592	-0.959045516	-1.648121432	-1.017537575	1.325502533	0.789702928	0.67172524	0.680733016	-0.214531696	-0.117981938	1.454061788	0.945447446	1.284039161	0.572632256
ENSMUSG00000019577	Pdk4	-0.586481808	-0.620041331	-1.070072819	-1.24547509	-0.679046576	-0.750486705	-0.645304846	-1.012667451	-0.949724261	-1.45199715	0.764291242	1.064079958	1.62257842	0.807477596	-0.024702739	0.719029317	0.81610407	1.555543473	0.654436956	1.032459746
ENSMUSG00000019779	Frk	0.071952949	1.422551503	0.618996585	-0.952059189	-0.577318292	-1.300220802	-1.992874033	-1.112130809	-0.961519912	-0.923228551	0.759256491	0.924423915	0.475114295	1.592274413	0.697005233	-0.69373487	-0.042404183	0.82958213	0.851838987	0.312494141
ENSMUSG00000019790	Stxbp5	-1.070673622	-1.294474002	-0.704970245	-0.985842032	-0.716411476	-1.115300229	-0.91988114	-1.170129636	-0.765940873	-0.670881074	0.718812096	0.724932515	0.340656023	0.885631068	1.052472703	1.021553385	1.170877161	1.303377694	1.347698808	0.848492876
ENSMUSG00000019929	Dcn	-1.469382062	-1.08561755	-0.235261506	-0.300927482	0.154972236	-1.071347219	-1.212147886	-0.709815569	-1.115077585	-0.41618671	1.159418748	0.619353578	-0.577928602	0.517188209	0.240899904	1.601563322	0.820343008	1.636494425	-0.175393088	1.618851829
ENSMUSG00000020115	Tbk1	-0.819487711	-0.398077339	-1.695959444	-0.082305502	0.128641462	-0.794524738	-1.002131076	-1.261530768	-1.211334056	-1.234474455	1.31405229	-0.088269437	1.054247727	1.011387167	0.680884709	0.289957294	1.169089851	0.471648742	1.220304106	1.247881176
ENSMUSG00000020134	Peli1	-0.931281195	-1.259914197	-0.206739293	-0.319217724	0.235674731	-1.182835009	-1.83844871	-0.074109305	-0.603252227	-1.242833933	1.031674896	1.156724941	1.133908936	1.761333375	1.191521204	-0.042426241	0.690811164	0.914394084	-0.064773301	-0.350212197
ENSMUSG00000020315	Sptbn1	-0.565902275	-1.032667295	-0.404182484	-0.808640074	-1.163435926	-1.69907929	-0.853227605	-0.843149781	-0.00963904	-0.634090511	0.178475986	0.344766748	-0.242414987	0.991364103	0.795703268	0.339406732	0.680666055	1.459871457	2.026543584	1.439631336
ENSMUSG00000020681	Ace	-1.031568944	-0.566801972	-0.984811087	-0.950007853	-0.658842286	-1.061329119	-0.510542072	-1.320919307	-0.644243921	-1.378490861	0.859585522	0.884128166	1.174772698	1.180147978	-0.014808977	0.82488537	1.502852357	1.162607742	0.991468638	0.541917927
ENSMUSG00000021025	Nfkbia	0.601703518	1.229822704	-0.146302507	0.159509303	0.519008528	-1.352141528	-0.566535116	-1.186071205	-0.910447801	-2.12682737	1.530616732	0.839503713	1.785861038	-0.047980027	0.979878997	-0.303356686	-0.499309685	0.139618323	-0.579972343	-0.066578588
ENSMUSG00000021171	Esyt2	-1.380390841	-0.811196412	-0.769556287	-0.599961475	0.082845427	-1.825959767	-0.784574302	-0.242507275	-0.08741917	-0.281274707	0.447042387	0.099302819	-0.411321003	0.494960887	-0.037732653	-0.392851633	1.490986164	1.765583592	1.60810078	1.635923471
ENSMUSG00000021211	Akr1c12	-0.438964072	-0.887761468	-0.915456938	-0.420013864	-0.212548449	-1.662547921	-0.288755572	-1.719609224	-0.670432245	-1.383028675	0.507255216	1.306948928	0.462462637	0.686682441	1.019864053	1.709156133	0.746562441	0.678689332	0.56014639	0.921350856
ENSMUSG00000021720	Rnf180	-0.924334241	-1.558039739	-0.081634166	-1.279467031	-1.403318831	-1.19830563	-1.145868185	-0.251356651	-0.444312883	-0.186879749	1.062122534	1.087637011	0.170766241	1.428035273	1.078490851	0.354602294	0.768053801	0.511764908	1.514099661	0.497944531
ENSMUSG00000021765	Fst	0.368227436	-1.603749583	0.015789096	-0.913334182	-1.091157337	-0.417273096	-1.484798901	-1.113181918	-1.094908315	-0.532579914	0.916295355	0.985443875	0.618204733	0.534681478	0.263507438	1.888121558	-0.205194927	1.209458597	1.12567621	0.530772401
ENSMUSG00000021775	Nr1d2	-0.434624856	-1.359483152	-0.32797034	-1.233773861	-1.176286139	-1.120029809	-0.647344168	0.430766815	-0.409862968	0.0584651	-0.02410619	-0.070159357	-0.826426707	0.51591396	0.36621225	0.346996362	1.406471017	1.291498452	0.632285841	2.581457749
ENSMUSG00000021819	Zswim8	-0.166250018	0.500403343	-0.568243876	-0.152778136	-0.270268255	-2.508019705	-1.667275447	-0.281797987	-0.099370267	-1.798489471	0.811377769	0.565417	1.009716302	0.829926753	0.258203489	0.288599493	1.023612808	1.241162371	0.498699281	0.485374554
ENSMUSG00000021823	Vcl	-1.366814402	-0.485331213	0.004599898	-0.600793509	-1.004217937	-0.961523028	-1.451191587	-1.06120812	0.012156645	-1.213802981	0.481716106	0.828336529	-0.309325393	1.131415476	0.181393734	1.029353806	0.680225582	1.309593883	1.858883382	0.93653313
ENSMUSG00000021838	Samd4	-0.489719811	-0.267773549	0.362405628	-0.175973256	-1.318670511	-0.083450123	-1.33393542	-1.907549647	-0.977250324	-0.878281247	-0.181040157	1.04601463	0.555837564	1.069522406	0.872495108	-0.581668014	0.768855679	0.572878366	0.884660792	2.062641888
