id	Group
AM01_Y_N_R1	Young_naive
AM02_Y_N_R2	Young_naive
AM03_Y_N_R3	Young_naive
AM04_Y_N_R4	Young_naive
AM05_Y_N_R5	Young_naive
AM06_Y_G_R1	Young_mouse_with_CSF2
AM07_Y_G_R2	Young_mouse_with_CSF2
AM07_Y_G_R3	Young_mouse_with_CSF2
AM09_Y_G_R4	Young_mouse_with_CSF2
AM10_Y_G_R5	Young_mouse_with_CSF2
AM11_O_N_R1	Old_naive
AM12_O_N_R2	Old_naive
AM13_O_N_R3	Old_naive
AM14_O_N_R4	Old_naive
AM15_O_N_R5	Old_naive
AM16_O_G_R1	Old_mouse_with_CSF2
AM17_O_G_R2	Old_mouse_with_CSF2
AM17_O_G_R3	Old_mouse_with_CSF2
AM19_O_G_R4	Old_mouse_with_CSF2
AM20_O_G_R5	Old_mouse_with_CSF2
