ensembl_gene_id	gene_name	SC024_T1_N_AMR_R1	SC025_T1_N_AMR_R2	SC026_T1_N_AMR_R3	SC027_T1_N_AMR_R4	SC028_T1_N_AMR_R5	SC001_T1_N_AMR_R1	SC002_T1_N_AMR_R2	SC003_T1_N_AMR_R3	SC004_T1_N_AMR_R4	SC005_T1_N_AMR_R5	SC029_T2_B_AMR_R1	SC030_T2_B_AMR_R2	SC031_T2_B_AMR_R3	SC032_T2_B_AMR_R4	SC033_T2_B_AMR_R5	SC029_T2_B_AMD_R1	SC030_T2_B_AMD_R2	SC031_T2_B_AMD_R3	SC032_T2_B_AMD_R4	SC033_T2_B_AMD_R5
ENSMUSG00000000149	Gna12	-0.874467368	-0.828380864	-0.862709924	-1.178015891	-0.910221041	-0.986495867	-0.584891238	-1.2097664	-0.982769201	-1.134157213	1.200423872	1.170154807	1.146833798	0.933829067	0.957813971	0.780601074	0.784284204	1.225938012	0.649703384	0.702292819
ENSMUSG00000000204	Slfn4	-0.516309906	0.00627719	0.126074406	-0.743256124	-0.16636389	-1.623035749	-0.323637762	-0.7031269	-2.456425023	-0.630581506	1.454987488	1.066233435	1.219218204	0.380439509	1.485975451	0.397468186	-0.56714907	0.593875742	0.345564428	0.653771892
ENSMUSG00000000318	Clec10a	-0.270898102	0.057734514	0.51220771	0.274973249	0.687634144	-1.553330686	-1.893665443	-1.208463778	-1.314099857	-1.464109513	1.067701006	0.304756918	1.920771945	0.698895009	0.972317464	0.034717351	0.074104683	0.325702734	0.299510736	0.473539916
ENSMUSG00000000441	Raf1	-0.531530993	-0.49671518	-0.218090225	-0.697043441	0.154308996	-0.060063054	-0.226241866	-0.127701884	0.323889341	-0.068619521	0.687795153	2.464945385	1.835606905	0.064384673	0.932596654	-1.39838255	-0.478046959	0.701629178	-1.71994968	-1.142770932
ENSMUSG00000000869	Il4	-1.327490171	-0.095254415	-0.567748544	-1.819482111	-0.32465695	-0.277137762	0.414170672	-0.599129678	-1.061480139	-1.819482111	1.121294839	1.444258046	0.901887094	1.426431823	1.262420664	0.355973041	-0.019549665	0.432668986	0.587654724	-0.035348343
ENSMUSG00000000982	Ccl3	-0.78004592	-0.633777602	-0.879302269	-1.526869532	-0.055998453	-1.363525346	-0.889125612	-0.172467675	-1.520818468	0.247561079	0.793188836	0.203138115	2.320867161	0.669982452	0.048744373	0.742092273	0.584987844	1.404661557	0.65740552	0.149301668
ENSMUSG00000001034	Mapk7	-0.9401202	-0.616245249	-1.752213652	-0.913161678	-0.43350168	0.19635764	-1.068133545	0.688677689	-0.710349038	-1.368747905	0.668735949	1.899526325	0.233182275	-0.484113448	0.697955176	0.767868737	1.766269925	0.994807554	0.10703555	0.266169575
ENSMUSG00000001127	Araf	-0.564589203	0.025396554	-0.633171278	-1.193694717	-0.482375329	-1.690896461	-0.192511281	-1.197183462	-0.869089012	-0.899106074	1.12648054	1.019147104	1.846305768	0.539773782	1.569596962	-0.072021334	0.585990924	1.328482287	0.115128722	-0.361664493
ENSMUSG00000001313	Rnd2	-1.298971082	0.410123392	-0.142189268	-0.799010736	-1.460009501	0.772815311	-1.633678521	-0.802349334	-0.30636973	-1.459170169	-0.314653157	1.760580535	0.044591984	1.193949832	1.12485477	0.970781971	0.265951357	1.060285974	0.355684271	0.256782101
ENSMUSG00000001366	Fbxo9	-0.8137246	-0.705556727	-0.815833768	-0.766669251	-0.421564017	-1.934472396	-0.693064994	-0.131012023	0.743167052	-0.51565605	0.800374877	2.214511741	1.011793957	0.452249603	2.076581698	-0.416430581	-0.082285588	-0.185945084	-0.039304481	0.22284063
