id	Group
SC024_T1_N_AMR_R1	TRAM
SC025_T1_N_AMR_R2	TRAM
SC026_T1_N_AMR_R3	TRAM
SC027_T1_N_AMR_R4	TRAM
SC028_T1_N_AMR_R5	TRAM
SC001_T1_N_AMR_R1	TRAM
SC002_T1_N_AMR_R2	TRAM
SC003_T1_N_AMR_R3	TRAM
SC004_T1_N_AMR_R4	TRAM
SC005_T1_N_AMR_R5	TRAM
SC029_T2_B_AMR_R1	TRAM(bleo)
SC030_T2_B_AMR_R2	TRAM(bleo)
SC031_T2_B_AMR_R3	TRAM(bleo)
SC032_T2_B_AMR_R4	TRAM(bleo)
SC033_T2_B_AMR_R5	TRAM(bleo)
SC029_T2_B_AMD_R1	MoAM1(bleo)
SC030_T2_B_AMD_R2	MoAM1(bleo)
SC031_T2_B_AMD_R3	MoAM1(bleo)
SC032_T2_B_AMD_R4	MoAM1(bleo)
SC033_T2_B_AMD_R5	MoAM1(bleo)
