gene	cluster
ENSMUSG00000000149	1
ENSMUSG00000000204	1
ENSMUSG00000000318	1
ENSMUSG00000000441	1
ENSMUSG00000000869	1
ENSMUSG00000000982	1
ENSMUSG00000001034	1
ENSMUSG00000001127	1
ENSMUSG00000001313	1
ENSMUSG00000001366	1
ENSMUSG00000001418	1
ENSMUSG00000001467	1
ENSMUSG00000001930	1
ENSMUSG00000002059	1
ENSMUSG00000002083	1
ENSMUSG00000002108	1
ENSMUSG00000002228	1
ENSMUSG00000002661	1
ENSMUSG00000002797	1
ENSMUSG00000002910	1
ENSMUSG00000003039	1
ENSMUSG00000003199	1
ENSMUSG00000003355	1
ENSMUSG00000003363	1
ENSMUSG00000003528	1
ENSMUSG00000003617	1
ENSMUSG00000003721	1
ENSMUSG00000003849	1
ENSMUSG00000003873	1
ENSMUSG00000004032	1
ENSMUSG00000004040	1
ENSMUSG00000004359	1
ENSMUSG00000004394	1
ENSMUSG00000004446	1
ENSMUSG00000004455	1
ENSMUSG00000004609	1
ENSMUSG00000004815	1
ENSMUSG00000005204	1
ENSMUSG00000005267	1
ENSMUSG00000005413	1
ENSMUSG00000005800	1
ENSMUSG00000005881	1
ENSMUSG00000006219	1
ENSMUSG00000006344	1
ENSMUSG00000006476	1
ENSMUSG00000006517	1
ENSMUSG00000006850	1
ENSMUSG00000006932	1
ENSMUSG00000007038	1
ENSMUSG00000007777	1
ENSMUSG00000007837	1
ENSMUSG00000007891	1
ENSMUSG00000008845	1
ENSMUSG00000009035	1
ENSMUSG00000009185	1
ENSMUSG00000010047	1
ENSMUSG00000010051	1
ENSMUSG00000011884	1
ENSMUSG00000014177	1
ENSMUSG00000014243	1
ENSMUSG00000014353	1
ENSMUSG00000014686	1
ENSMUSG00000014867	1
ENSMUSG00000015027	1
ENSMUSG00000015335	1
ENSMUSG00000015488	1
ENSMUSG00000015542	1
ENSMUSG00000015702	1
ENSMUSG00000015709	1
ENSMUSG00000015711	1
ENSMUSG00000015950	1
ENSMUSG00000016496	1
ENSMUSG00000017167	1
ENSMUSG00000017390	1
ENSMUSG00000017493	1
ENSMUSG00000017713	1
ENSMUSG00000017747	1
ENSMUSG00000017802	1
ENSMUSG00000018102	1
ENSMUSG00000018167	1
ENSMUSG00000018427	1
ENSMUSG00000018449	1
ENSMUSG00000018474	1
ENSMUSG00000018599	1
ENSMUSG00000018677	1
ENSMUSG00000018774	1
ENSMUSG00000018846	1
ENSMUSG00000018927	1
ENSMUSG00000019055	1
ENSMUSG00000019087	1
ENSMUSG00000019261	1
