ensembl_gene_id	gene_name	SC024_T1_N_AMR_R1	SC025_T1_N_AMR_R2	SC026_T1_N_AMR_R3	SC027_T1_N_AMR_R4	SC028_T1_N_AMR_R5	SC001_T1_N_AMR_R1	SC002_T1_N_AMR_R2	SC003_T1_N_AMR_R3	SC004_T1_N_AMR_R4	SC005_T1_N_AMR_R5	SC006_T2_F_AMR_R1	SC007_T2_F_AMR_R2	SC008_T2_F_AMR_R3	SC009_T2_F_AMR_R4	SC010_T2_F_AMR_R5	SC006_T2_F_AMD_R1	SC007_T2_F_AMD_R2	SC008_T2_F_AMD_R3	SC009_T2_F_AMD_R4	SC010_T2_F_AMD_R5
ENSMUSG00000000078	Klf6	0.264842951	0.552096975	0.029702331	-0.088387218	-0.505150886	-1.653381527	-1.718296125	-1.460092662	-1.223684136	-0.919900925	-0.490695675	0.209017011	0.751310165	0.385220077	0.532061807	0.3333827	0.876793128	0.913638005	1.45171239	1.759811614
ENSMUSG00000000184	Ccnd2	-1.211423728	-1.19959356	-1.483347307	-1.76030703	-1.106063519	0.247028124	-0.134905711	0.047426164	-0.273981145	-0.412528305	0.0177859	1.041927793	1.463697161	1.484418447	1.230062449	-0.438598166	0.165391931	0.781103962	1.145692629	0.396213912
ENSMUSG00000000204	Slfn4	-0.867836014	-0.714675943	-0.680244724	-0.934119386	-0.764897821	-1.186619853	-0.810784044	-0.918853894	-1.428142891	-0.902812434	0.250551786	1.21094987	0.863592755	1.068452239	0.650584946	0.356718702	1.609889184	1.1247727	1.233908499	0.839566323
ENSMUSG00000000247	Lhx2	-0.423696286	-0.944548373	-1.243989291	0.054786975	-0.711177497	-0.753453138	-0.21485639	-0.723717587	-1.084230035	-1.639558683	-0.1029383	1.121771412	0.417974086	1.128600284	0.877848382	-0.559754681	2.057869821	0.992624202	1.273458968	0.476986132
ENSMUSG00000000386	Mx1	-0.933367442	-0.993715943	-0.710352561	-0.967568541	-0.73374594	-0.981697399	-1.089582529	-0.740424624	-1.546593424	-0.70965006	0.469363628	1.223504702	0.806327938	0.952861407	0.788572946	0.610264081	1.398687602	1.024510858	1.160856508	0.971748792
ENSMUSG00000000392	Fap	-0.621680194	-0.211586052	-0.997562811	-1.497451727	-0.649035028	0.206935037	-0.656690315	0.12972345	-0.337301275	-1.262364283	-1.40234873	1.287523292	2.003605881	1.108127265	0.249018103	-0.083685428	0.664337895	0.999842313	1.473904161	-0.403311554
ENSMUSG00000000628	Hk2	-0.503682498	-0.446108528	-0.669627166	-0.5122856	-0.407312069	-0.574320074	-0.534089431	-1.169718725	-0.905832151	-1.690658023	-0.403653648	1.782230427	0.023193505	0.631686205	0.127120077	0.150343918	2.147648567	1.10214191	1.512539382	0.340383923
ENSMUSG00000000682	Cd52	-0.949638028	-0.885793755	-0.693230349	-0.799885488	-1.423243566	-0.810593766	-1.212185196	-0.915247675	-0.232776487	-0.703043504	0.076814301	1.470928675	0.837597662	0.67182724	0.278216345	0.411431909	2.022508454	0.527936586	1.109870314	1.218506328
ENSMUSG00000000708	Kat2b	-0.820668448	-1.151529038	-0.991618115	-0.907778111	-0.641369771	-0.681743452	-0.797757809	-0.366683288	-1.599497851	-0.716604902	-0.01772248	1.269536923	0.954696659	1.011347851	0.350649928	0.17091055	1.549452043	1.263453097	1.573908165	0.549018051
ENSMUSG00000000805	Car4	-0.291825217	-0.396995621	-0.813151043	-0.258134975	-0.963006644	-0.670621266	-1.156719201	-1.333874347	-1.112275745	-0.792867532	0.145484388	1.472264688	0.247138284	0.558860131	-0.388856643	0.696186468	2.387716932	0.932224049	1.310754322	0.427698974
ENSMUSG00000000838	Fmr1	-0.1120066	-1.367888607	-0.496513567	-0.853363603	-0.394521509	-1.640516516	-1.722718135	-0.961540624	-0.651611158	0.686478946	-0.107058245	1.333618529	0.949691075	1.21625872	0.609698801	0.836522282	0.35537961	-0.147944682	1.42108458	1.046950702
ENSMUSG00000000957	Mmp14	-1.079474224	-0.5282814	-0.527851622	-0.51622755	-0.418869486	-0.472741722	-0.946388101	-1.175721085	-1.972806386	-0.52663776	0.804519475	1.738296928	0.312327887	0.284305601	0.307906431	0.926642454	2.076397164	0.597483763	0.747170177	0.369949455
ENSMUSG00000000982	Ccl3	-0.90745992	-0.83069415	-0.955748064	-1.284501207	-0.539501725	-1.195231909	-0.959394646	-0.591674035	-1.280564017	-0.39517437	0.172261821	1.211815511	0.978766987	0.579946376	0.028478215	0.968774101	1.430040966	1.333791854	1.319348656	0.916719559
ENSMUSG00000001123	Lgals9	-1.097348093	-0.817333722	-0.958556747	-0.835375164	-0.788058221	-0.65403926	-0.958035234	-0.901462108	-0.688762528	-0.991080554	-0.16021174	1.400134443	0.605124469	0.914247751	0.566198716	-0.014600453	1.945479724	1.132132894	1.310727869	0.990817958
ENSMUSG00000001131	Timp1	-0.202983303	-1.148483836	-0.416362131	-0.447076348	-0.633852447	-0.587457143	-0.753779241	-0.035038957	-1.971760094	-1.178715942	0.296217493	1.488837224	0.465495661	0.596505282	0.270124421	-0.316977292	1.984029925	0.393090815	1.846026589	0.352159325
ENSMUSG00000001467	Cyp51	-0.678526474	-0.508380575	-0.820139607	-0.74974734	-0.475207697	-0.447653225	-1.372635427	-1.094599025	-1.245945157	-1.099012685	-0.146387961	1.095971053	0.37387659	1.174060708	0.01787432	0.649058513	1.809436675	1.088249375	1.53519219	0.894515747
ENSMUSG00000001542	Ell2	-0.502619303	-1.362972277	-1.25543407	-1.450366048	-0.867887004	-0.927980673	-0.319734874	-0.395144788	-0.347299899	-0.178436446	-0.097353201	0.45316516	0.371076882	1.495702553	1.693392204	-0.317585644	0.686674028	0.145040797	1.795106361	1.382656242
ENSMUSG00000002227	Mov10	-1.284482517	-0.91743733	-0.933347157	-0.780206433	-0.579787772	-0.890047374	-1.048493209	-0.995329821	-0.897078313	-0.63059728	0.134303836	1.440782753	0.307141438	0.736088383	0.765988552	0.533683391	1.822108211	0.890025437	1.46930653	0.857378675
ENSMUSG00000002297	Dbf4	-0.85192731	-1.548893965	-0.679056931	-0.323789237	-1.743864247	0.040982275	-1.645369316	-0.324371422	-0.432884108	0.541200175	0.403807693	0.970033127	0.07372044	1.393984207	-0.623446928	1.349675554	0.752007645	0.232729542	1.502547977	0.91291483
ENSMUSG00000002307	Daxx	-0.887640867	-0.812988547	-0.73676086	-0.803121638	-0.802137279	-0.746448058	-0.902510532	-0.967190551	-0.901605699	-1.207139038	-0.173931286	1.474913897	0.63944125	0.963592402	0.717540762	0.012943446	1.876216835	1.037582501	1.22212709	0.997116173
ENSMUSG00000002325	Irf9	-0.809982275	-0.791284178	-0.873162787	-0.902431937	-0.852405584	-0.91425487	-0.944721599	-1.234896458	-1.18575334	-1.04570978	0.427243933	1.082026621	0.981374146	1.091754308	1.036875659	0.60197876	1.153289986	0.961486561	1.118172766	1.100400069
ENSMUSG00000002658	Gtf2f1	-0.498849048	-0.821281279	-1.959144543	-0.738973187	-0.597394864	-0.279460593	-0.970210392	-0.788019492	-0.19622293	-0.255942104	-0.286772277	0.554250853	0.419551987	0.753632225	0.653464289	-0.889294126	2.037902555	1.059336947	1.26955999	1.533865991
ENSMUSG00000002748	Baz1b	-1.378143423	-0.053278143	-1.264092977	-0.547535692	-0.392271223	-0.610445932	-0.659954233	-0.763453505	-1.433776341	0.039917111	0.154986681	1.64910585	0.62711816	-0.71294412	-0.342735639	0.520093597	1.772099573	0.812049662	1.754471654	0.828788941
ENSMUSG00000002797	Ggct	-0.180540259	0.160984235	-1.692690816	-0.863333654	-0.984354473	-0.241926499	-0.435974631	-0.106126481	-0.743396269	-1.036310701	0.154204111	1.313342592	0.71076779	0.441017712	-1.412923744	-0.386133847	2.068389068	1.062057952	0.84698952	1.325958395
ENSMUSG00000002847	Pla1a	-0.785702158	-1.325133727	-1.324742045	-1.096366838	-0.15651232	-0.221090499	-0.569412666	-0.797878889	-1.073315522	-0.902923239	-0.453502309	0.401308863	0.210219529	1.554797738	0.916160438	0.92210231	1.071473117	0.573628233	1.549887804	1.50700218
ENSMUSG00000002881	Nab1	-0.124382509	-1.631960438	-0.54159922	-1.276639501	-0.535966072	-0.869343847	-1.317778442	-0.357812138	-1.068339182	-0.137506921	0.325222402	1.48210851	1.285551934	1.298999768	0.491488783	-0.049144392	0.362924534	-0.249321132	1.510159463	1.403338399
ENSMUSG00000002983	Relb	-0.319218319	-0.838983113	-0.965929728	-0.79113253	-0.236872355	-0.827110122	0.043703149	-0.11685486	-1.227656154	-1.384337679	0.377892717	1.476500081	-0.041960905	1.097288754	0.576865649	-0.680198428	2.465207177	1.226655548	0.600828539	-0.434687421
ENSMUSG00000003226	Ranbp2	-1.323896064	-0.67686507	-0.767050012	-1.783199248	-0.768802285	-1.006209417	-0.817360206	-0.572085542	-1.161209175	0.680057065	0.335873029	1.025825748	1.394849571	0.819869372	1.145010879	0.267565435	0.583490044	0.213047702	1.482261308	0.928826865
