gene	cluster
ENSMUSG00000000078	1
ENSMUSG00000000184	1
ENSMUSG00000000204	1
ENSMUSG00000000247	1
ENSMUSG00000000386	1
ENSMUSG00000000392	1
ENSMUSG00000000628	1
ENSMUSG00000000682	1
ENSMUSG00000000708	1
ENSMUSG00000000805	1
ENSMUSG00000000838	1
ENSMUSG00000000957	1
ENSMUSG00000000982	1
ENSMUSG00000001123	1
ENSMUSG00000001131	1
ENSMUSG00000001467	1
ENSMUSG00000001542	1
ENSMUSG00000002227	1
ENSMUSG00000002297	1
ENSMUSG00000002307	1
ENSMUSG00000002325	1
ENSMUSG00000002658	1
ENSMUSG00000002748	1
ENSMUSG00000002797	1
ENSMUSG00000002847	1
ENSMUSG00000002881	1
ENSMUSG00000002983	1
ENSMUSG00000003226	1
ENSMUSG00000003541	1
ENSMUSG00000003665	1
ENSMUSG00000004040	1
ENSMUSG00000004535	1
ENSMUSG00000004609	1
ENSMUSG00000004707	1
ENSMUSG00000004952	1
ENSMUSG00000005667	1
ENSMUSG00000006262	1
ENSMUSG00000006411	1
ENSMUSG00000006418	1
ENSMUSG00000006527	1
ENSMUSG00000007617	1
ENSMUSG00000008200	1
ENSMUSG00000009035	1
ENSMUSG00000009376	1
ENSMUSG00000009585	1
ENSMUSG00000010021	1
ENSMUSG00000010358	1
ENSMUSG00000011008	1
ENSMUSG00000011114	1
ENSMUSG00000012519	1
ENSMUSG00000014599	1
ENSMUSG00000014773	1
ENSMUSG00000015312	1
ENSMUSG00000015314	1
ENSMUSG00000015340	1
ENSMUSG00000015656	1
ENSMUSG00000015766	1
ENSMUSG00000015947	1
ENSMUSG00000016206	1
ENSMUSG00000016283	1
ENSMUSG00000016496	1
ENSMUSG00000016528	1
ENSMUSG00000016559	1
ENSMUSG00000016664	1
ENSMUSG00000017132	1
ENSMUSG00000017652	1
ENSMUSG00000017830	1
ENSMUSG00000018143	1
ENSMUSG00000018167	1
ENSMUSG00000018171	1
ENSMUSG00000018500	1
ENSMUSG00000018666	1
ENSMUSG00000018707	1
ENSMUSG00000018899	1
ENSMUSG00000018920	1
ENSMUSG00000018930	1
ENSMUSG00000018986	1
ENSMUSG00000019082	1
ENSMUSG00000019122	1
ENSMUSG00000019132	1
ENSMUSG00000019699	1
ENSMUSG00000019806	1
ENSMUSG00000019850	1
ENSMUSG00000019866	1
ENSMUSG00000019942	1
ENSMUSG00000019960	1
ENSMUSG00000019990	1
ENSMUSG00000020024	1
ENSMUSG00000020057	1
ENSMUSG00000020077	1
ENSMUSG00000020089	1
ENSMUSG00000020115	1
ENSMUSG00000020120	1
ENSMUSG00000020132	1
ENSMUSG00000020178	1
ENSMUSG00000020184	1
ENSMUSG00000020189	1
ENSMUSG00000020326	1
ENSMUSG00000020357	1
ENSMUSG00000020362	1
ENSMUSG00000020415	1
ENSMUSG00000020464	1
ENSMUSG00000020476	1
ENSMUSG00000020516	1
ENSMUSG00000020572	1
ENSMUSG00000020611	1
ENSMUSG00000020638	1
ENSMUSG00000020641	1
ENSMUSG00000020647	1
ENSMUSG00000020694	1
ENSMUSG00000020790	1
ENSMUSG00000020826	1
ENSMUSG00000020863	1
ENSMUSG00000020952	1
ENSMUSG00000021025	1
ENSMUSG00000021067	1
ENSMUSG00000021125	1
ENSMUSG00000021171	1
ENSMUSG00000021196	1
ENSMUSG00000021242	1
ENSMUSG00000021243	1
ENSMUSG00000021273	1
ENSMUSG00000021322	1
ENSMUSG00000021377	1
ENSMUSG00000021423	1
ENSMUSG00000021451	1
ENSMUSG00000021583	1
ENSMUSG00000021591	1
ENSMUSG00000021614	1
ENSMUSG00000021670	1
ENSMUSG00000021701	1
ENSMUSG00000021775	1
ENSMUSG00000021871	1
ENSMUSG00000021990	1
ENSMUSG00000022014	1
ENSMUSG00000022018	1
ENSMUSG00000022126	1
ENSMUSG00000022150	1
ENSMUSG00000022216	1
ENSMUSG00000022351	1
ENSMUSG00000022479	1
ENSMUSG00000022564	1
ENSMUSG00000022575	1
ENSMUSG00000022584	1
ENSMUSG00000022586	1
ENSMUSG00000022587	1
ENSMUSG00000022684	1
ENSMUSG00000022801	1
ENSMUSG00000022867	1
ENSMUSG00000022876	1
ENSMUSG00000022895	1
ENSMUSG00000022901	1
ENSMUSG00000022906	1
ENSMUSG00000022965	1
ENSMUSG00000023068	1
ENSMUSG00000023206	1
ENSMUSG00000023224	1
ENSMUSG00000023307	1
ENSMUSG00000023341	1
ENSMUSG00000023349	1
ENSMUSG00000023830	1
ENSMUSG00000023832	1
ENSMUSG00000023861	1
ENSMUSG00000023947	1
ENSMUSG00000023959	1
ENSMUSG00000023961	1
ENSMUSG00000024014	1
ENSMUSG00000024019	1
ENSMUSG00000024054	1
ENSMUSG00000024056	1
ENSMUSG00000024066	1
ENSMUSG00000024079	1
ENSMUSG00000024085	1
ENSMUSG00000024143	1
ENSMUSG00000024164	1
ENSMUSG00000024308	1
ENSMUSG00000024338	1
ENSMUSG00000024339	1
ENSMUSG00000024378	1
ENSMUSG00000024424	1
ENSMUSG00000024457	1
ENSMUSG00000024472	1
ENSMUSG00000024486	1
ENSMUSG00000024539	1
ENSMUSG00000024590	1
ENSMUSG00000024642	1
ENSMUSG00000024665	1
ENSMUSG00000024672	1
ENSMUSG00000024675	1
ENSMUSG00000024677	1
ENSMUSG00000024679	1
ENSMUSG00000024730	1
ENSMUSG00000024732	1
ENSMUSG00000024750	1
ENSMUSG00000024778	1
ENSMUSG00000024789	1
ENSMUSG00000024795	1
ENSMUSG00000024805	1
