ensembl_gene_id	gene_name	SC024_T1_N_AMR_R1	SC025_T1_N_AMR_R2	SC026_T1_N_AMR_R3	SC027_T1_N_AMR_R4	SC028_T1_N_AMR_R5	SC001_T1_N_AMR_R1	SC002_T1_N_AMR_R2	SC003_T1_N_AMR_R3	SC004_T1_N_AMR_R4	SC005_T1_N_AMR_R5	SC034_T3_B_AMD_R1	SC035_T3_B_AMD_R2	SC036_T3_B_AMD_R3	SC037_T3_B_AMD_R4	SC038_T3_B_AMD_R5	SC034_T3_B_AMR_R1	SC035_T3_B_AMR_R2	SC036_T3_B_AMR_R3	SC037_T3_B_AMR_R4	SC038_T3_B_AMR_R5
ENSMUSG00000000184	Ccnd2	0.69641215	0.701943337	0.598155071	0.492692058	0.738004274	1.255267204	1.126203164	1.192814781	1.070224622	1.031343474	-1.111698413	-1.537765724	-1.332249799	-1.72287258	-0.826147833	-0.535584868	-0.662827377	-0.661358026	-0.456246638	-0.056308876
ENSMUSG00000000275	Trim25	1.215165241	0.959558269	1.22212178	0.90507034	1.62140401	0.242733649	0.929282911	0.590450335	-0.038619542	0.557181588	-1.014691245	-1.975012468	-0.962820037	-1.343484226	-0.042451434	-0.406939843	-1.067713829	-0.802082785	-0.676236283	0.08708357
ENSMUSG00000000276	Dgke	0.676841123	0.85217645	1.281449461	0.715493162	1.357365883	-0.644727728	0.586414145	-0.218281774	1.096237055	1.832200259	-0.617415091	-1.333591548	-1.497698967	-1.008815052	-0.72622294	0.271980332	-1.070683355	-0.508071386	-1.012887536	-0.031762494
ENSMUSG00000000303	Cdh1	0.074860405	0.654337428	0.388215245	0.441806799	0.470152122	1.257426872	0.981859647	1.338278907	1.34627643	0.497187337	-1.755395898	-1.440516483	-1.116293847	-1.017326826	0.231561264	-1.166300016	-1.353879208	-0.625725015	0.07061783	0.722857006
ENSMUSG00000000420	Galnt1	0.193764021	0.246167803	0.610800705	-0.23301453	0.643202766	-0.175230887	1.077413298	1.417024271	1.299313628	1.926972417	-0.570503612	-0.294542129	-0.533952378	-0.97139706	0.193513403	-1.801960998	-0.018873796	-1.762067704	-1.194328384	-0.052300833
ENSMUSG00000000531	Grasp	0.746151028	0.45573501	1.389406724	0.517113224	1.462216985	0.638524993	0.76681717	0.766598926	0.683466271	1.459126228	-0.588501149	-1.012510101	-1.19574882	-1.252368508	-0.932479233	0.104885879	-0.875239683	-1.577083577	-0.83194007	-0.724171297
ENSMUSG00000000562	Adora3	1.293894305	0.98324271	1.084477328	1.75126209	-0.036963919	0.991297783	-0.006546188	0.977635709	0.120030698	0.660751128	-0.646659196	-1.445815197	-1.767448634	-0.806396752	-0.590361274	-0.068874524	-0.781174066	-1.507290751	-0.407535723	0.202474473
ENSMUSG00000000673	Haao	1.490919472	0.474099118	0.645716154	0.991315298	1.539948001	0.777151659	0.542436117	-0.673646862	-0.404484064	0.619624289	1.058629739	0.572719579	-0.284412352	-1.016713714	-0.215385069	-0.58338273	-1.113415251	-1.798938441	-1.216398439	-1.405782502
ENSMUSG00000000682	Cd52	0.498379645	0.630141717	1.033514812	0.820787902	-0.450201258	0.78016292	0.02910798	0.615925375	1.99018203	1.091197946	-0.480345302	0.826285902	-0.418103935	-0.283112099	-1.054085129	-1.632895285	-0.192053319	-0.880654983	-1.805418268	-1.118816651
ENSMUSG00000000751	Rpa1	1.056194734	1.082723625	1.027123447	1.178444513	0.231979809	0.896247942	0.730806386	1.095775484	1.112778522	0.390292647	-1.427681532	0.237678136	-0.760684008	-1.664955803	-0.43428504	-1.178061484	-0.696294424	-0.951488516	-1.058196457	-0.868397982
ENSMUSG00000000787	Ddx3x	0.914512123	0.177217	0.589853415	0.063122326	0.919257669	-0.276742243	0.181987414	0.496152713	1.478407278	2.362362592	0.032679964	-0.446365782	-1.017041701	-1.457198682	-0.634131069	0.555167491	-0.291695609	-1.292618853	-1.505916775	-0.849009271
ENSMUSG00000000915	Hip1r	1.536974416	0.308547794	1.017772953	0.975044551	1.108754417	0.595237121	1.254848909	0.742335338	-0.960613942	0.602945915	-0.205746609	-0.233157329	-1.047720606	-2.102206632	-0.89840773	0.561471632	-0.506566139	-0.738456982	-0.999012981	-1.012044095
ENSMUSG00000001089	Luzp1	1.181823866	0.676568447	1.326231834	0.313230757	0.901716176	-0.268694345	0.602354436	0.195652192	-0.671642655	2.328210498	-0.14633292	-0.886592987	-0.678450494	-1.351801255	-1.292642275	0.162870066	0.591226503	-1.038798118	-0.877921838	-1.067007888
ENSMUSG00000001123	Lgals9	-0.617492584	0.919117199	0.180164691	0.856854264	1.080819999	1.808658269	0.263565639	0.55118646	1.716116898	0.160066913	-0.655745551	0.514823548	-1.494416519	-0.507743408	-0.464699535	-1.449497033	0.397322706	-1.018634013	-1.20813602	-1.032331923
ENSMUSG00000001151	Pcnt	-0.524229479	0.059468052	0.290778535	-0.398079291	0.44772111	0.368910716	1.554583983	1.467319322	0.947416051	2.592432223	-0.559093847	-0.626979305	-0.065620818	-0.93678655	-0.638100554	-0.120629561	-1.321187081	-0.829226673	-1.015215648	-0.693481186
ENSMUSG00000001156	Mxd1	1.387723595	1.080697316	1.492050006	1.352056858	1.652757566	-0.406374661	0.332838506	-0.345049563	-0.297086459	0.656786197	-0.70257212	-0.29385161	-1.211125507	-0.984531645	-0.04196037	-0.366634009	-0.328355392	-1.616904228	-1.51866383	0.158199351
ENSMUSG00000001228	Uhrf1	1.340011535	1.088006375	0.340025994	0.851453963	1.112652681	1.424403524	0.813228108	0.813400344	0.822188264	-0.198332019	-0.786207273	-0.246292629	-0.489843248	-1.199568077	-0.050184943	-1.46046013	-0.352968827	-1.086819623	-1.777600153	-0.957093866
ENSMUSG00000001281	Itgb7	0.335200411	1.897301577	1.5610443	1.448537683	0.701819385	-0.316437192	0.674740668	0.282126446	-0.233154802	0.615518889	-0.314298752	0.556645024	-0.482765017	-1.860868718	-0.612643371	-0.596054257	-0.648894028	-0.633913407	-1.785376434	-0.588528404
ENSMUSG00000001403	Ube2c	1.247653965	-0.069982644	0.289790779	0.823078625	0.013999755	1.867969225	0.454190004	1.491769137	0.750564103	0.983217235	-0.672452513	-0.603659113	-0.582258947	-0.811994394	-0.151709628	-0.520910914	-0.344568294	-0.935754385	-2.288665217	-0.94027678
ENSMUSG00000001517	Foxm1	0.731238151	0.000304118	0.995207586	0.197414054	0.821406301	1.733504787	1.399354606	0.0193067	0.33432859	1.80146483	-1.05851356	-0.675059859	-0.046841001	-0.801498311	-0.196985087	-0.336687898	-1.260964064	-1.167586897	-1.15588434	-1.333508706
ENSMUSG00000001552	Jup	1.047712466	0.885161843	0.929710835	0.987891759	0.918385742	1.078229128	1.25827455	0.70393561	0.657453909	0.77834298	-0.98606687	-0.891900635	-1.342883989	-1.711141749	-1.305307463	-0.56406408	-0.420635201	-0.910447761	-0.625756859	-0.486894215
ENSMUSG00000001576	Ergic1	0.728158968	1.769044287	0.158807616	0.424805544	0.286840079	1.184221589	0.553893242	-0.867076623	1.38620586	1.638411894	-0.619214518	-0.32449363	-1.099364967	-1.675724741	-0.613815211	-0.559720807	-0.318924251	-1.024589754	-1.258908395	0.231443819
ENSMUSG00000001588	Acap1	0.679396942	1.081320569	0.828876761	0.907237381	1.047779251	0.907474697	0.880717326	0.976738353	1.056614987	0.812110939	-0.713681172	-0.808561445	-1.293513016	-1.494882624	-1.367657436	-0.554756805	0.074753403	-1.307100883	-0.886392925	-0.826474303
ENSMUSG00000001768	Rin2	0.248106342	-0.084090938	0.044094307	-0.162354467	0.664140998	1.599341614	1.112456246	1.794300794	1.655063978	0.942568787	-1.002003908	-0.917694836	0.045484631	-1.337023458	-0.817418022	-0.705472829	-0.821030844	-0.099970947	-1.034734249	-1.123763198
ENSMUSG00000001855	Nup214	-0.261109948	0.71546717	0.887202036	0.411444021	0.503086986	0.308304093	1.09962568	0.51056655	-0.340045337	3.10532446	-1.040567601	-0.838434522	-0.326588976	-1.322314283	-0.68723451	-0.507959028	-0.469151015	-0.895439619	-0.681608877	-0.170567279
ENSMUSG00000001964	Emd	1.4804833	0.602144679	0.807025054	1.194606977	1.175579315	1.682693695	1.07389353	0.143043705	0.102563206	-0.342899698	-0.641544749	-0.720294803	-1.577646396	-0.93272705	-0.695016402	-1.107521765	-0.410402657	-0.117048042	-1.632061484	-0.084870414
ENSMUSG00000002006	Pdzd4	1.248287436	0.794493826	1.733388296	1.339359227	0.933587704	-1.200880151	1.135037507	0.158360178	-0.310124134	0.245382838	-1.094562487	-0.075725497	-1.423444242	-1.758696975	-0.592678008	-0.669581314	0.313718735	0.305274142	-0.946702809	-0.134494271
ENSMUSG00000002043	Trappc6a	1.058514419	0.532478097	0.990386428	0.953434001	0.818845592	0.830041308	0.771297097	1.001888162	1.300999431	0.450330349	-1.679448309	-0.427453118	-1.335627041	-1.527617784	-1.383777788	-1.014353584	-0.00404843	-0.78553944	-0.176441611	-0.373907777
ENSMUSG00000002055	Spag5	1.086227879	-0.129657322	0.736488611	0.984529584	-0.172509535	1.52815033	0.549112158	1.02693038	1.536758394	0.552505755	-0.610415563	-0.946411389	-0.50698634	-1.143651778	0.401895232	-0.072684019	-0.840365235	-0.595613055	-1.451551529	-1.932752558
ENSMUSG00000002068	Ccne1	1.4466359	1.073642006	0.38790219	0.393061616	0.06968634	1.126672147	1.067499327	-0.301393341	-0.318886508	1.79148289	-0.32580226	0.13868467	-0.775153501	-0.548322002	0.095682854	-1.870517466	0.067383574	-1.272089451	-1.813574268	-0.432594718
ENSMUSG00000002107	Celf2	0.400987757	0.094483724	0.84783811	0.213406947	-0.26834614	0.272184767	0.610400834	0.305361648	1.402958318	3.1340182	-0.790492846	-0.962593834	-0.555206662	-1.16539909	-0.565708036	-0.264174025	-0.360629516	-0.569085837	-0.984367417	-0.795636902
ENSMUSG00000002204	Napsa	1.134519517	0.68076224	0.940312637	0.685460676	0.626763646	0.855150783	0.804103647	0.922050413	0.998805904	0.447830778	-0.101104457	0.380878513	-0.691377525	-1.472137478	-0.830271868	-0.678393631	-0.210316516	-0.96462585	-2.444908321	-1.083503108
ENSMUSG00000002257	Def6	0.389552926	-0.435982478	-0.487186795	0.342018018	1.279928502	1.574221108	1.471798906	0.669483089	1.569546094	0.995952202	-0.363949524	0.297188352	-1.171549216	-1.209221366	-0.417593103	-0.405889492	-0.594123423	-0.739745334	-1.3529985	-1.411449966
ENSMUSG00000002428	Hltf	0.811667693	0.890131994	0.606734131	0.176061287	1.200424488	0.544483081	-1.362921178	1.817590741	1.01785322	1.341558849	-0.611674243	-0.791215107	-0.107587248	-1.322008128	0.20884647	-0.801374149	-0.956105905	-0.318877245	-1.494261774	-0.849326976
ENSMUSG00000002500	Rpl3l	1.211460634	0.611229401	0.106184082	0.589617569	0.84866961	0.747577178	0.293237581	0.856270704	2.076584976	0.649367952	-1.127671088	-1.000725818	-1.420019448	-0.825116719	-2.101419853	-0.392600659	0.007186595	-0.384300386	-0.400505817	-0.34502649
ENSMUSG00000002550	Uck1	0.432891415	1.326567622	0.469799223	0.744765043	0.859140012	0.73108087	1.534678541	0.532523084	2.058248022	-1.191781067	-0.069391395	-0.652719981	-0.624722554	-0.455734555	-1.017676233	-0.94805366	-1.081985965	-0.624834194	-0.747740981	-1.275053245
ENSMUSG00000002835	Chaf1a	-0.540780269	1.237098933	1.54341006	1.350314802	0.864912884	0.816052029	1.141161854	0.611798323	0.280917258	0.160101895	-0.427590877	-0.080817781	0.022667865	-0.888392557	-0.541029077	-0.649650825	-1.032687664	-1.111407124	-2.373788758	-0.382290968
ENSMUSG00000002870	Mcm2	0.774230675	1.575800965	0.407728223	0.433615611	0.616103292	0.765748559	1.488670702	0.282004275	1.354818425	0.649651957	-1.10530953	-0.246196019	-0.65920344	-1.533099102	0.425820401	-1.15484577	-0.96872447	-0.802327318	-1.487063762	-0.817423674
ENSMUSG00000002944	Cd36	0.516647001	0.466181351	0.297238321	0.247263187	-0.502444215	0.849967012	0.336016276	1.747061981	1.213116997	0.931141134	-1.847881648	-1.538942892	-1.183620416	-1.391998401	0.041674468	-0.87856096	-0.000550362	-0.457358736	-0.169494334	1.324544235
ENSMUSG00000003038	Hmgn2	0.529457701	0.174363371	-0.919731978	0.886483285	-0.03011206	1.092514369	0.12324932	1.898947544	2.096728272	1.047292846	-0.618383243	0.120201495	-0.861871892	-1.184021444	-0.501080762	-1.348650104	-0.253563584	-0.415005457	-1.245322668	-0.591495012
ENSMUSG00000003070	Efna2	1.348580543	0.900703489	1.086174294	0.784632956	-0.382339492	1.096340783	0.830813088	0.660547835	0.26152324	0.268080487	-0.297092772	-0.627344957	-0.503521315	-2.866789038	-0.630040327	-0.171966789	-0.023968793	-1.304294327	-0.841546014	0.411507109
ENSMUSG00000003178	NA	0.020713992	0.910239547	0.71301999	-0.266733091	0.526759194	0.200125135	0.590650724	1.823378678	-0.238885097	1.689574939	-1.327563742	-2.447767243	-0.326995852	-1.046917657	-0.953618836	0.045641012	-0.614051106	0.410312175	0.486757894	-0.194640655
ENSMUSG00000003282	Plag1	0.545864057	0.699357248	1.120981476	0.516124419	0.817119678	0.373792599	0.846864906	0.770614537	1.19277204	1.220485975	0.35003358	-1.746661286	-1.226984957	-1.602617442	-1.301454561	0.287201705	-0.209745794	-1.099917076	-0.481343819	-1.072487287
ENSMUSG00000003500	Impdh1	0.212044055	0.755902368	1.675048175	0.240420691	1.219309909	1.007046787	1.106419695	0.549159745	0.784601089	0.352218688	-0.217564664	-0.639717891	-1.98409355	-1.596918848	-0.800633209	0.126367236	-0.221397405	-0.732490885	-1.582305421	-0.253416564
ENSMUSG00000003585	Sec14l2	1.756954651	1.03160019	0.894721684	1.112587279	1.106558491	0.605687354	0.151473726	0.050123373	0.260009962	0.515227864	-0.222145195	0.139279793	-0.458695166	-1.840758442	-1.012514899	-0.234043464	0.169670028	-0.68790254	-1.811417485	-1.526417204
ENSMUSG00000003660	Snrnp200	0.613556998	1.190984758	0.726517251	1.152231284	0.529234942	0.67292439	0.891110505	0.497100514	0.028224114	1.792836071	-0.546152439	-1.690433145	-0.811736946	-1.705996321	0.02992579	-0.317931866	-0.781411852	-1.530678889	-0.761116722	0.020811564
ENSMUSG00000003779	Kif20a	1.286914958	0.297618532	0.445151999	0.581663465	0.516878501	0.349332856	1.604032671	0.553823691	0.690445502	1.944601243	-1.288541897	-0.218349112	-1.254442543	-1.093661968	-0.954941973	0.075611865	-1.008657295	-0.266190879	-1.405799445	-0.85549017
ENSMUSG00000003810	Mast2	0.538613145	-0.337396246	0.363608004	0.42679735	-0.050456146	1.709920882	1.427911639	0.849746169	-0.006415298	2.141697753	-0.59499962	-0.866105748	-0.2885302	-0.503728863	-0.23478496	0.154173523	-1.954678905	-0.780647425	-0.813360657	-1.181364396
ENSMUSG00000004085	Map3k20	-0.556887623	-0.582768678	1.111688914	0.056246997	1.017186237	-0.143684231	1.000080996	1.903705837	0.393353797	1.737779973	-0.910561087	-1.327615013	-1.908806912	-0.976032299	-0.209954373	-0.324867683	0.546635643	0.193701477	-0.688291442	-0.330910529
ENSMUSG00000004270	Lpcat3	0.624633148	0.593487381	1.047700223	0.815263618	0.945042561	0.580979874	1.23336557	-0.130188594	0.874325788	1.424467984	-0.94789243	-0.298924829	-1.906600889	-1.672291369	-1.534909025	-0.559598629	0.278374377	-0.700123989	-0.498048777	-0.169061991
ENSMUSG00000004568	Arhgef18	0.595590162	0.770177781	0.84550502	0.854449982	0.831541408	0.740162626	0.894600406	0.946241436	0.524069408	0.831024626	-2.007759472	-1.686709424	-1.463415134	-1.044582765	-1.468386147	-0.220367486	0.221308026	-0.517548893	0.260203747	0.093894693
ENSMUSG00000004642	Slbp	0.754827341	1.084433673	0.590526599	1.079088119	0.706163845	0.05888311	1.176477325	0.676807322	1.388830915	0.499782097	-1.352381021	0.486840548	-1.284125695	-0.805554718	0.207494729	-0.762503763	-0.975755293	-2.0339318	-0.852831631	-0.6430717
ENSMUSG00000004665	Cnn2	0.654580586	1.062656393	0.831701939	0.760644587	1.009090967	1.206195497	1.176928449	1.154998586	0.394206773	0.641123989	-0.803884856	-0.300906158	-0.701121437	-1.486005308	-0.205659617	-0.586770182	-0.605038549	-1.435049155	-1.792827767	-0.974864738
ENSMUSG00000004730	Adgre1	1.828064697	1.298596913	1.094378101	1.096373295	0.844365587	0.724322043	0.934742695	0.816955715	0.328636771	-0.476338895	-0.80069928	-0.531212611	-1.174894094	-1.232236778	-1.275906097	-1.022200537	-0.235975078	-0.93008825	-0.971136054	-0.315748144
ENSMUSG00000004791	Pgf	0.82789968	0.230599823	0.543189939	1.118670706	0.609728742	0.969559076	0.081141161	0.137315338	1.994713994	0.577631783	-1.280217882	-0.215791519	-1.150789515	-1.084264771	-0.729148834	-0.280865596	1.020841524	-0.149285802	-1.704072111	-1.516855736
ENSMUSG00000004880	Lbr	0.701619945	0.991342315	0.354745859	1.760106078	0.604007403	1.168688337	-0.280159981	0.979944283	0.385986815	1.330326454	-0.959014255	-0.662246002	0.151599962	-0.678842798	-0.963899437	-2.165852865	-0.684409665	-0.339228455	-1.103609322	-0.59110467
ENSMUSG00000005034	Prkacb	1.097244401	1.114513153	1.461865913	0.863134293	1.157725051	-0.351450136	0.424802945	0.136667248	0.261788794	1.380562732	-0.556519484	0.809190577	-0.77503129	-1.436513759	-1.216621712	-0.56687403	-0.122412034	-1.301661328	-1.365771122	-1.014640213
ENSMUSG00000005125	Ndrg1	1.281110417	0.581892518	1.048682608	0.591794992	0.971389572	0.273614827	1.550518823	0.84489449	0.533668471	1.198519524	-0.615592185	-0.41378059	-1.036843683	-1.077487762	-1.084051478	-1.062426904	-0.119333638	-1.144699531	-1.709707215	-0.612163257
ENSMUSG00000005198	Polr2a	0.342450785	0.742251836	1.660888573	0.547652986	1.529293475	-0.176095348	1.554074865	-0.200407429	-1.272951377	1.521381292	-0.591534553	-0.514226944	-0.845017761	-1.313908588	-0.089449156	-0.235216904	-0.644320821	-1.66114051	-0.457993716	0.104269294
ENSMUSG00000005233	Spc25	0.763998806	0.882712468	-0.044384218	-0.043624022	0.190121006	1.110688524	0.77992942	0.991220846	0.839129184	1.416335071	-0.755460933	0.318933913	-1.013473722	-0.798654857	0.187260901	0.250384303	-0.054643698	-0.804405542	-2.319789318	-1.896278135
ENSMUSG00000005360	Slc1a3	0.676892877	0.728547402	0.907514711	0.608221261	0.876052383	0.399177221	0.720356249	0.705915418	0.831255047	0.934647791	-1.822898737	-1.847263289	-1.421579487	-1.282772368	-1.548521642	0.030949499	0.599154026	-0.343960844	0.114375239	0.133937243
ENSMUSG00000005410	Mcm5	0.713453953	1.432423379	1.050828664	0.588540023	0.436939383	0.904274083	1.335765802	1.435800267	0.485779391	0.313909238	-1.297304071	-0.09868278	-0.542769061	-0.868463267	-0.034409629	-1.260597329	-0.962002448	-1.454958042	-1.251112883	-0.927414673
ENSMUSG00000005470	Asf1b	0.952286431	0.519733583	0.634237114	1.072742433	0.062501493	1.278390778	0.886348822	1.177217472	1.563462715	0.145224715	-0.272943805	-0.137943582	-0.217029595	-0.926896947	-0.525685927	-1.538421195	-1.593160439	-0.714146164	-1.685474274	-0.680443628
