gene	cluster
ENSMUSG00000000184	1
ENSMUSG00000000275	1
ENSMUSG00000000276	1
ENSMUSG00000000303	1
ENSMUSG00000000420	1
ENSMUSG00000000531	1
ENSMUSG00000000562	1
ENSMUSG00000000673	1
ENSMUSG00000000682	1
ENSMUSG00000000751	1
ENSMUSG00000000787	1
ENSMUSG00000000915	1
ENSMUSG00000001089	1
ENSMUSG00000001123	1
ENSMUSG00000001151	1
ENSMUSG00000001156	1
ENSMUSG00000001228	1
ENSMUSG00000001281	1
ENSMUSG00000001403	1
ENSMUSG00000001517	1
ENSMUSG00000001552	1
ENSMUSG00000001576	1
ENSMUSG00000001588	1
ENSMUSG00000001768	1
ENSMUSG00000001855	1
ENSMUSG00000001964	1
ENSMUSG00000002006	1
ENSMUSG00000002043	1
ENSMUSG00000002055	1
ENSMUSG00000002068	1
ENSMUSG00000002107	1
ENSMUSG00000002204	1
ENSMUSG00000002257	1
ENSMUSG00000002428	1
ENSMUSG00000002500	1
ENSMUSG00000002550	1
ENSMUSG00000002835	1
ENSMUSG00000002870	1
ENSMUSG00000002944	1
ENSMUSG00000003038	1
ENSMUSG00000003070	1
ENSMUSG00000003178	1
ENSMUSG00000003282	1
ENSMUSG00000003500	1
ENSMUSG00000003585	1
ENSMUSG00000003660	1
ENSMUSG00000003779	1
ENSMUSG00000003810	1
ENSMUSG00000004085	1
ENSMUSG00000004270	1
ENSMUSG00000004568	1
ENSMUSG00000004642	1
ENSMUSG00000004665	1
ENSMUSG00000004730	1
ENSMUSG00000004791	1
ENSMUSG00000004880	1
ENSMUSG00000005034	1
ENSMUSG00000005125	1
ENSMUSG00000005198	1
ENSMUSG00000005233	1
ENSMUSG00000005360	1
ENSMUSG00000005410	1
ENSMUSG00000005470	1
ENSMUSG00000005533	1
ENSMUSG00000005566	1
ENSMUSG00000005609	1
ENSMUSG00000005886	1
ENSMUSG00000005947	1
ENSMUSG00000006050	1
ENSMUSG00000006191	1
ENSMUSG00000006398	1
ENSMUSG00000006678	1
ENSMUSG00000007080	1
ENSMUSG00000007613	1
ENSMUSG00000007617	1
ENSMUSG00000007872	1
ENSMUSG00000008305	1
ENSMUSG00000008384	1
ENSMUSG00000008393	1
ENSMUSG00000008859	1
ENSMUSG00000009633	1
ENSMUSG00000009772	1
ENSMUSG00000010067	1
ENSMUSG00000010095	1
ENSMUSG00000010175	1
ENSMUSG00000010342	1
ENSMUSG00000010651	1
ENSMUSG00000011148	1
ENSMUSG00000011960	1
ENSMUSG00000012443	1
ENSMUSG00000013523	1
ENSMUSG00000013629	1
ENSMUSG00000013698	1
ENSMUSG00000015112	1
ENSMUSG00000015165	1
ENSMUSG00000015189	1
ENSMUSG00000015202	1
ENSMUSG00000015243	1
