ensembl_gene_id	gene_name	SC024_T1_N_AMR_R1	SC025_T1_N_AMR_R2	SC026_T1_N_AMR_R3	SC027_T1_N_AMR_R4	SC028_T1_N_AMR_R5	SC001_T1_N_AMR_R1	SC002_T1_N_AMR_R2	SC003_T1_N_AMR_R3	SC004_T1_N_AMR_R4	SC005_T1_N_AMR_R5	SC011_T3_F_AMD_R1	SC012_T3_F_AMD_R2	SC013_T3_F_AMD_R3	SC014_T3_F_AMD_R4	SC011_T3_F_AMR_R1	SC012_T3_F_AMR_R2	SC013_T3_F_AMR_R3	SC014_T3_F_AMR_R4
ENSMUSG00000000127	Fer	-0.151748994	0.426765406	0.446633791	0.51183447	-0.008604351	0.112903209	0.667782407	0.160309952	0.542493072	-0.180433619	-0.678750512	-0.700163065	-2.844627699	-1.561996124	1.397650141	0.208373815	1.408330276	0.243247825
ENSMUSG00000000184	Ccnd2	0.486579444	0.49525623	0.3547428	0.212984189	0.541555029	1.234760853	1.060261657	1.15032004	0.986666484	0.931384368	-1.110004672	-1.938363828	-1.520172558	-1.448377961	-0.035624652	-0.625883851	-0.115808774	-0.660274798
ENSMUSG00000000275	Trim25	1.043962615	0.797222393	1.050469371	0.741254679	1.438084272	0.096510712	0.762172375	0.433698043	-0.177461674	0.397300947	-1.623480002	-2.070610734	-0.079304811	-0.21707116	-0.638262703	-1.78425493	-0.040770656	-0.129458737
ENSMUSG00000000276	Dgke	0.571516108	0.731558947	1.113434893	0.604861405	1.180219845	-0.615257413	0.48540588	-0.234505648	0.945797725	1.598938948	-1.886164989	-0.95575995	-1.798342483	-0.588420803	0.03231643	-0.822503754	-0.516613861	0.153518721
ENSMUSG00000000303	Cdh1	0.277782971	0.741600226	0.527526545	0.569734032	0.592143624	1.220208212	0.998448666	1.283774735	1.290942858	0.609622612	-1.224472815	-0.707298556	-1.354697903	-1.294133332	-1.008616484	-0.270542087	-1.362014649	-0.890008654
ENSMUSG00000000420	Galnt1	0.15293118	0.21072911	0.571141428	-0.278181759	0.601262441	-0.220694912	1.031233731	1.375598674	1.259931671	1.877442075	-1.220622219	-1.257125254	-0.844288694	0.351121663	-1.033210298	-0.596117378	-1.606494272	-0.374657188
ENSMUSG00000000531	Grasp	0.601498173	0.368655163	1.119530925	0.416979739	1.177914036	0.514524671	0.616893934	0.617147427	0.550607644	1.173633554	-0.489750572	-1.346873008	-0.498460544	-1.062103515	0.507010079	-2.294154826	-1.191120311	-0.781932571
ENSMUSG00000000732	Icosl	-0.186292676	0.623338019	0.374370992	0.323603573	-0.188623309	2.03814655	0.379657046	1.60733828	1.696529621	-0.56518873	-0.186299856	-0.841738746	-0.691829507	-1.345554835	-0.218117297	-1.460222983	-0.478159756	-0.880956385
ENSMUSG00000000751	Rpa1	1.003004628	1.048782629	0.958210574	1.185648365	-0.249504228	0.75735058	0.499830136	1.056465089	1.085010146	-0.023971065	-0.23457528	-1.320856886	-1.084675677	0.000409448	-1.493389416	-1.399286582	-1.454047035	-0.334405425
ENSMUSG00000000787	Ddx3x	0.89925074	0.267413426	0.618546117	0.162567819	0.900734854	-0.131148143	0.259384252	0.533179537	1.382886351	2.134711443	-1.383288187	-1.649660068	-0.828358932	-0.875764219	0.026500662	-0.426872316	-0.990995121	-0.899088216
