gene	cluster
ENSMUSG00000000127	1
ENSMUSG00000000184	1
ENSMUSG00000000275	1
ENSMUSG00000000276	1
ENSMUSG00000000303	1
ENSMUSG00000000420	1
ENSMUSG00000000531	1
ENSMUSG00000000732	1
ENSMUSG00000000751	1
ENSMUSG00000000787	1
ENSMUSG00000000915	1
ENSMUSG00000001123	1
ENSMUSG00000001228	1
ENSMUSG00000001517	1
ENSMUSG00000001552	1
ENSMUSG00000001588	1
ENSMUSG00000001768	1
ENSMUSG00000001964	1
ENSMUSG00000002043	1
ENSMUSG00000002055	1
ENSMUSG00000002100	1
ENSMUSG00000002428	1
ENSMUSG00000002668	1
ENSMUSG00000002944	1
ENSMUSG00000003382	1
ENSMUSG00000003500	1
ENSMUSG00000003545	1
ENSMUSG00000004270	1
ENSMUSG00000004568	1
ENSMUSG00000004609	1
ENSMUSG00000004642	1
ENSMUSG00000004665	1
ENSMUSG00000004880	1
ENSMUSG00000005034	1
ENSMUSG00000005125	1
ENSMUSG00000005360	1
ENSMUSG00000005566	1
ENSMUSG00000006050	1
ENSMUSG00000006235	1
ENSMUSG00000007613	1
ENSMUSG00000007850	1
ENSMUSG00000007872	1
ENSMUSG00000008200	1
ENSMUSG00000008348	1
ENSMUSG00000008384	1
ENSMUSG00000008393	1
ENSMUSG00000009633	1
ENSMUSG00000009772	1
ENSMUSG00000010067	1
ENSMUSG00000010095	1
ENSMUSG00000010175	1
ENSMUSG00000010651	1
ENSMUSG00000012443	1
ENSMUSG00000012483	1
ENSMUSG00000015165	1
ENSMUSG00000015396	1
ENSMUSG00000015467	1
ENSMUSG00000015776	1
ENSMUSG00000015932	1
ENSMUSG00000015981	1
ENSMUSG00000016194	1
ENSMUSG00000016382	1
ENSMUSG00000016559	1
ENSMUSG00000016921	1
ENSMUSG00000017309	1
ENSMUSG00000017405	1
ENSMUSG00000017418	1
ENSMUSG00000017485	1
ENSMUSG00000017677	1
ENSMUSG00000017716	1
ENSMUSG00000018169	1
ENSMUSG00000018334	1
ENSMUSG00000018341	1
ENSMUSG00000018362	1
ENSMUSG00000018378	1
ENSMUSG00000018476	1
ENSMUSG00000018541	1
ENSMUSG00000018569	1
ENSMUSG00000018581	1
ENSMUSG00000018865	1
ENSMUSG00000018868	1
ENSMUSG00000018965	1
ENSMUSG00000019312	1
